id;sentence;sentenceForeign;words;sound;visible;created
21;{"sentences": [{"sentence":"Britský postup může být vnímán jako svého druhu přiznání, že neoliberální _ volného trhu nefunguje.","translation":"","solution":["kapitalismus"], "distractors":[] },{"sentence":"Studená válka tak byla založena na „oboustranné obraně“. Sovětský svaz bránil _ a revoluci před nepřátelským kapitalismem a USA bránily šíření komunismu ve jménu západní demokracie a kapitalismu.","translation":" ","solution":["socialismus"], "distractors":[] },{"sentence":"Zvítězí-li _ a ohledy na blížící se volby, české zdravotnictví se kupředu příliš nepohne.","translation":" ","solution":["populismus"], "distractors":[] },{"sentence":"Malé české dějiny jsou ty, kde se stává jediným tématem pouhé češství – samolibý _ , kroužící kolem sebe sama.","translation":" ","solution":["nacionalismus"], "distractors":[] }] };;;;1;2019-11-29 13:42:05
22;{"sentences": [{"sentence":"Naše myšlenka vycházela ze skautského ideálu a z ideálu svobody a _ .","translation":" ","solution":["demokracie"], "distractors":[] },{"sentence":"V praxi to znamenalo, že důležitá rozhodnutí mohl král učinit pouze se souhlasem _ v říšské radě.","translation":" ","solution":["aristokracie"], "distractors":[] },{"sentence":"Zdědil království se všemi vnějšími znaky _ , se všemi obřady a rituály.","translation":" ","solution":["monarchie"], "distractors":[] },{"sentence":"Byla nastolena neblaze proslulá _ proletariátu.","translation":" ","solution":["diktatura"], "distractors":[] }] };;;;1;2019-11-29 13:42:05
24;{"sentences": [{"sentence":"Svrchovaná výkonná moc se soustřeďovala v rukou dědičného krále a zákonodárnou moc měl dvoukomorový _ .","translation":" ","solution":["parlament"], "distractors":[] },{"sentence":"Mezi samosprávné akademickými orgány veřejné vysoké patří akademický _ .","translation":" ","solution":["senát"], "distractors":[] },{"sentence":"Příslušnou vyhlášku včera schválilo městské _ .","translation":" ","solution":["zastupitelstvo"], "distractors":[] },{"sentence":"Už ve čtvrtek se sejde poslanecká _ .","translation":" ","solution":["sněmovna"], "distractors":[] },{"sentence":"Vznikající koalice se dohodla, že by dolní _ parlamentu měla mít kromě předsedy čtyři nebo pět místopředsedů.","translation":" ","solution":["komora"], "distractors":[] }] };;;;1;2019-11-29 13:42:05
25;{"sentences": [{"sentence":" _ je člen vlády.","translation":" ","solution":["Ministr"], "distractors":[] },{"sentence":" _ je ministerský předseda.","translation":" ","solution":["Premiér"], "distractors":[] },{"sentence":" _ je starosta statutárního města.","translation":" ","solution":["Primátor"], "distractors":[] },{"sentence":" _ je osoba stojící v čele kraje.","translation":" ","solution":["Hejtman"], "distractors":[] },{"sentence":" _ je člen parlamentu.","translation":" ","solution":["Poslanec"], "distractors":[] }] };;;;1;2019-11-29 13:42:05
26;{"sentences": [{"sentence":" _ je společenský systém, v němž je převážná většina výrobních prostředků v soukromých rukou a ceny jsou určovány nabídkou a poptávkou na trhu.","translation":" ","solution":["Kapitalismus"], "distractors":[] },{"sentence":" _ jsou myšlenkové tendence, ideologie a politika zdůrazňující význam národa.","translation":" ","solution":["Nacionalismus"], "distractors":[] },{"sentence":" _ je politická ideologie požadující společné vlastnictví a odmítající třídní rozdíly mezi lidmi.","translation":" ","solution":["Komunismus"], "distractors":[] },{"sentence":" _ je charakteristický obranou tradičních hodnot.","translation":" ","solution":["Konzervatismus"], "distractors":[] }] };;;;1;2019-11-29 13:42:05
27;{"sentences": [{"sentence":" _ je společenský systém založený na společném vlastnictví a plánovaném hospodářství.","translation":" ","solution":["Socialismus"], "distractors":[] },{"sentence":" _ je nepřátelství nebo předpojatost vůči židům.","translation":" ","solution":["Antisemitismus"], "distractors":[] },{"sentence":" _ je politická ideologie považující za základní hodnotu svobodu jednotlivce.","translation":" ","solution":["Liberalismus"], "distractors":[] },{"sentence":" _ je totalitní ideologie Německa v letech 1933–1945.","translation":" ","solution":["Nacismus"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
28;{"sentences": [{"sentence":" _ je forma organizace společnosti, v níž je umožněna účast občanů na jejím řízení a správě.","translation":" ","solution":["Demokracie"], "distractors":[] },{"sentence":" _ je druh státního zřízení, ve kterém vládne jedna osoba.","translation":" ","solution":["Monarchie"], "distractors":[] },{"sentence":" _ je forma vlády, kde je moc v rukou skupiny urozených občanů.","translation":" ","solution":["Aristokracie"], "distractors":[] },{"sentence":" _ je forma vlády, která se přímo odvolává na božskou moc a božské právo.","translation":" ","solution":["Teokracie"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
29;{"sentences": [{"sentence":"Kailovou chrání poslanecká _ a sněmovna ji k trestnímu stíhání odmítla vydat.","translation":" ","solution":["imunita"], "distractors":[] },{"sentence":"V Československu byla nutná ekonomická _ .","translation":" ","solution":["reforma"], "distractors":[] },{"sentence":"Zatímco oficiální _ hlásala radostnou přítomnost a světlé zítřky, Státní bezpečnost zatýkala statkáře i podezřelou inteligenci.","translation":" ","solution":["propaganda"], "distractors":[] },{"sentence":"Mariani je americký občan, vztahuje se na něj _ a má právo na spravedlivý proces.","translation":" ","solution":["ústava"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
30;{"sentences": [{"sentence":"Bylo tak zřejmé, že _ ČSFR do EU byla vymezena jako jeden ze základních zahraničněpolitických cílů československé diplomacie.","translation":" ","solution":["integrace"], "distractors":[] },{"sentence":"Ministerstvo zahraničí řeší problematiku azylové politiky a _ .","translation":" ","solution":["imigrace"], "distractors":[] },{"sentence":"Věděl jen to, že sem hodně jeho krajanů odcházelo do _ .","translation":" ","solution":["emigrace"], "distractors":[] },{"sentence":"Výsledkem Orbánových aktivit byla politická _ země.","translation":" ","solution":["izolace"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
31;{"sentences": [{"sentence":"Opozice často udělá z regionálních voleb _ o vládě.","translation":" ","solution":["referendum"], "distractors":[] },{"sentence":"Připravovali se na možné hospodářské _ a očekávali jejich největší dopad právě na NDR.","translation":" ","solution":["sankce"], "distractors":[] },{"sentence":"Třicátá léta se nesla ve znamení vzestupu levicových sil a hrozby japonské _ .","translation":" ","solution":["invaze"], "distractors":[] },{"sentence":"Vojtěch mohl být oprávněně podezírán z _ s cizí mocností proti státu.","translation":" ","solution":["konspirace"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
32;{"sentences": [{"sentence":"Po ukončení studia historie a _ se oženil.","translation":" ","solution":["politologie"], "distractors":[] },{"sentence":"Nálezy hedvábných oděvů patří dvěma významným příslušníkům _ ze státu Čchu.","translation":" ","solution":["aristokracie"], "distractors":[] },{"sentence":"Snímek ukazuje, že komunistická _ sloužila v normalizaci jedinému cíli.","translation":" ","solution":["ideologie"], "distractors":[] },{"sentence":"Většina okresních poradních orgánů nezaznamenala žádné výrazné známky rasismu, _ nebo diskriminace.","translation":" ","solution":["xenofobie"], "distractors":[] }] };;;;1;2019-11-29 13:42:06
33;{"sentences": [{"sentence":"V době nemoci přebírá její pracovní úkoly _ zahraničních věcí.","translation":" ","solution":["ministr"], "distractors":[] },{"sentence":"K Dienstbierově kritice se přidal i bývalý český _ z doby společné federace Petr Pithart.","translation":" ","solution":["premiér"], "distractors":[] },{"sentence":"Tovačov měl v té době volenou městskou radu, kterou tvořili _ , tři radní a osm konšelů.","translation":" ","solution":["primátor"], "distractors":[] },{"sentence":"Kraj navenek zastupuje _ , kterého volí zastupitelstvo.","translation":" ","solution":["hejtman"], "distractors":[] }] };;;;1;2019-11-29 14:02:05
43;{"sentences": [{"sentence":"Stiskl tlačítko, pak prsty přikryl _ , aby ztlumil zvuk.","translation":"","solution":["reproduktor"], "distractors":[] },{"sentence":"Světelné poměry se změnily, jako když se v divadle rozsvítí _ .","translation":"","solution":["reflektor"], "distractors":[] },{"sentence":"Do kontejneru lze vhazovat i opotřebované drobné elektrospotřebiče, které obsahují baterii nebo _ .","translation":"","solution":["akumulátor"], "distractors":[] },{"sentence":"Vyžaduje to vhodné místo s odsáváním, _ a stříkací pistoli.","translation":"","solution":["kompresor"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
44;{"sentences": [{"sentence":"Krajíčky namažeme máslem a džemem, navrstvíme je do _ nebo zapékací misky.","translation":"","solution":["remosky"], "distractors":[] },{"sentence":"Pak si z příruční _ nalil horký čaj.","translation":"","solution":["termosky"], "distractors":[] },{"sentence":"Naše firma vyváží obráběcí stroje a _ .","translation":"","solution":["brusky"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
45;{"sentences": [{"sentence":"Spacák si položil na _ .","translation":"","solution":["karimatku"], "distractors":[] },{"sentence":"Sada obsahuje _ a šest skleniček na vodu.","translation":"","solution":["karafu"], "distractors":[] },{"sentence":"Zásada je mít vždy jednu _ stále připnutou na některém z lan.","translation":"","solution":["karabinu"], "distractors":[] },{"sentence":"Probuďte v sobě pravého samuraje, pořiďte si _ .","translation":"","solution":["katanu"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
46;{"sentences": [{"sentence":"Odložil _ vedle lopaty a začal hrabat rukama.","translation":"","solution":["krumpáč"], "distractors":[] },{"sentence":"Dědeček vytáhl ze sklepa _ slivovice.","translation":"","solution":["demižon"], "distractors":[] },{"sentence":"Jeho _ skučelo, ale žádné světlo nevydávalo.","translation":"","solution":["dynamo"], "distractors":[] },{"sentence":"Obvykle má _ údernou část připevněnou k násadě až 1 metr dlouhým řetězem.","translation":"","solution":["řemdih"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
47;{"sentences": [{"sentence":"Pro natáčení videa byl použitý _ .","translation":"","solution":["dron"], "distractors":[] },{"sentence":"Vzal si křesadlo a _ .","translation":"","solution":["troud"], "distractors":[] },{"sentence":"Naučil jsem se hrát na _ .","translation":"","solution":["fagot"], "distractors":[] },{"sentence":"Neznámý muž vylezl na staroměstský _ a poškodil část kamene u spodní části lunárního kruhu.","translation":"","solution":["orloj"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
48;{"sentences": [{"sentence":"Holič pozvedá _ a krouží mi ostřím nad hlavou.","translation":"","solution":["břitvu"], "distractors":[] },{"sentence":"Podle mapy jsem nastavil _ a stanovil vzdálenost.","translation":"","solution":["buzolu"], "distractors":[] },{"sentence":"Jana hrála na _ v malé bluegrassové kapele.","translation":"","solution":["banjo"], "distractors":[] },{"sentence":"K měření atmosférického tlaku používáme _ .","translation":"","solution":["barometr"], "distractors":[] }] };;;;1;2019-11-29 14:06:43
49;{"sentences": [{"sentence":"Pro přesnější zaměření je _ vybaven malým dalekohledem.","translation":"","solution":["sextant"], "distractors":[] },{"sentence":"Redaktor šáhl do kapsy a zapnul _ .","translation":"","solution":["diktafon"], "distractors":[] },{"sentence":"Obránci města použili _ a vyslali proti ležení ohnivou kouli.","translation":"","solution":["katapult"], "distractors":[] },{"sentence":"Protože ještě nebyl znám _ , šířila se zpráva o jeho zásadním objevu pomalu.","translation":"","solution":["telegraf"], "distractors":[] }] };;;;1;2019-11-29 14:06:44
50;{"sentences": [{"sentence":"V _ si ohřeju mléko.","translation":"","solution":["rendlíku"], "distractors":[] },{"sentence":"V dílně byly kadeřavé prstence, které odpadávaly od _ .","translation":"","solution":["hoblíku"], "distractors":[] },{"sentence":"Na jeho helmě se skví znak bílého _ .","translation":"","solution":["palcátu"], "distractors":[] },{"sentence":"Od někud vytáhl kus _ , natáhl jej mezi stromy a pověsil na něj prádlo.","translation":"","solution":["motouzu"], "distractors":[] }] };;;;1;2019-11-29 14:06:44
51;{"sentences": [{"sentence":"Po třech týdnech se _ vymění za ortézu.","translation":"","solution":["dlaha"], "distractors":[] },{"sentence":"Při zmínce o lásce drnká _ a cvrlikají housle.","translation":"","solution":["harfa"], "distractors":[] },{"sentence":"Za chvíli byla _ plná hlíny.","translation":"","solution":["korba"], "distractors":[] },{"sentence":"V rohu místnosti visela _ .","translation":"","solution":["ikona"], "distractors":[] }] };;;;1;2019-11-29 14:06:44
52;{"sentences": [{"sentence":"Byl _ a tvářil se, jako by neexistovala.","translation":"","solution":["apatický"], "distractors":[] },{"sentence":"Byl to velmi _ kněz.","translation":"","solution":["asketický"], "distractors":[] },{"sentence":"Clavel byl autor trochu sentimentální a _ .","translation":"","solution":["patetický"], "distractors":[] },{"sentence":"Petr je _ povaleč.","translation":"","solution":["notorický"], "distractors":[] }] };;;;1;2019-11-29 14:07:51
53;{"sentences": [{"sentence":"Jeho projev byl plný osobního zájmena já, čímž dával jasně najevo svůj _ charakter.","translation":"","solution":["egoistický"], "distractors":[] },{"sentence":"Vilém je nepodařený milostný básník a _ glosátor života.","translation":"","solution":["cynický"], "distractors":[] },{"sentence":"V rozhalence pod rozepnutým zimníkem vypadal jako _ básník.","translation":"","solution":["romantický"], "distractors":[] },{"sentence":"Obě líce jí zdobily tři rovnoběžné kmenové jizvy, což její _ zjev jen podtrhovalo.","translation":"","solution":["exotický"], "distractors":[] }] };;;;1;2019-11-29 14:07:51
54;{"sentences": [{"sentence":"Most hlídá zvláště strašný a _ jezerní démon.","translation":"","solution":["mstivý"], "distractors":[] },{"sentence":"Pan dvorní písař je trochu _ , protože jsme prohledali každý kout hradu a nikoho jsme nenašli.","translation":"","solution":["mrzutý"], "distractors":[] },{"sentence":"Měla k dispozici značné bohatství, které jí zanechal _ manžel.","translation":"","solution":["movitý"], "distractors":[] },{"sentence":"Pověst praví, že _ otec želel každého vydaného groše.","translation":"","solution":["lakomý"], "distractors":[] }] };;;;1;2019-11-29 14:07:52
55;{"sentences": [{"sentence":"Vždy byl mužsky _ a rád se poslouchal.","translation":"","solution":["ješitný"], "distractors":[] },{"sentence":"V okamžiku byl _ a ve střehu.","translation":"","solution":["čilý"], "distractors":[] },{"sentence":"Na kolbišti dokazoval, že je _ bojovník.","translation":"","solution":["urputný"], "distractors":[] },{"sentence":"Jakmile začal být některý nápadník příliš _ , vyměnila jsem ho za jiného tanečníka.","translation":"","solution":["dotěrný"], "distractors":[] }] };;;;1;2019-11-29 14:07:52
56;{"sentences": [{"sentence":"Přešlápla jsem, _ a nejistá, jak to napravit.","translation":"","solution":["rozpačitá"], "distractors":[] },{"sentence":"Byla jsem velice _ a v jednom kuse jsem pletla text.","translation":"","solution":["roztržitá"], "distractors":[] },{"sentence":"Před chalupou stála _ stařenka.","translation":"","solution":["vetchá"], "distractors":[] },{"sentence":"Najednou byla odměřená a _ na slovo.","translation":"","solution":["skoupá"], "distractors":[] }] };;;;1;2019-11-29 14:07:52
57;{"sentences": [{"sentence":"Nakonec ani já nejsem zrovna _ typ, který má doma jednu párty za druhou.","translation":"","solution":["extrovertní"], "distractors":[] },{"sentence":"Její _ povaha jí nedovolovala o tom mluvit.","translation":"","solution":["introvertní"], "distractors":[] },{"sentence":"Na výstavě měli zajímavý _ exponát.","translation":"","solution":["interaktivní"], "distractors":[] },{"sentence":"Jde o román seriózní a _ autorky.","translation":"","solution":["inovativní"], "distractors":[] }] };;;;1;2019-11-29 14:07:52
58;{"sentences": [{"sentence":" _ nudle","translation":"","solution":["instantní"], "distractors":[] },{"sentence":" _ technologie","translation":"","solution":["inovativní"], "distractors":[] },{"sentence":" _ obrázek","translation":"","solution":["infantilní"], "distractors":[] },{"sentence":" _ kamarád","translation":"","solution":["imaginární"], "distractors":[] }] };;;;1;2019-11-29 14:07:52
60;{"sentences": [{"sentence":"Producent je velmi _ a schopný člověk.","translation":"","solution":["racionální"], "distractors":[] },{"sentence":"Král opět seděl ve vězení a _ revolucionáři se přetahovali o moc s umírněnými.","translation":"","solution":["radikální"], "distractors":[] },{"sentence":"Ten muž od brzkého rána pracuje, aby _ lidé mohli mít k snídani čerstvé pečivo.","translation":"","solution":["normální"], "distractors":[] },{"sentence":"Film Marian je studií toho, jak deprivace dětských domovů vytvoří z jejich chovanců _ a kriminální jedince.","translation":"","solution":["asociální"], "distractors":[] }] };;;;1;2019-11-29 14:07:53
61;{"sentences": [{"sentence":"Chlapci, kteří neměli častý kontakt s otci ve svých předškolních letech, byli v průměru méně _ a více závislí na svých spolužácích.","translation":"","solution":["asertivní"], "distractors":[] },{"sentence":"Jeho rodiče jsou _ a dávají jasně najevo, že neúspěch nepřichází v úvahu.","translation":"","solution":["ambiciózní"], "distractors":[] },{"sentence":"Myslíš si o sobě, že jsi praštěná a rebelka, jenže hluboko uvnitř jsi příšerně _ .","translation":"","solution":["konvenční"], "distractors":[] },{"sentence":"Parthové nebyli o mnoho víc než jen _ barbaři, kteří teprve nedávno přitáhli z rozlehlých východních stepí.","translation":"","solution":["primitivní"], "distractors":[] }] };;;;1;2019-11-29 14:07:53
62;{"sentences": [{"sentence":"O těchto problémech se v poslední době intenzivně _ .","translation":"","solution":["diskutuje"], "distractors":[] },{"sentence":"Jirka jednoznačně _ dovolenou na horách.","translation":"","solution":["preferuje"], "distractors":[] },{"sentence":"Prezident předání dekretu _ na ministra.","translation":"","solution":["deleguje"], "distractors":[] },{"sentence":"Pacientka doktorovy návrhy _ a na konci týdne odchází na víkendovou propustku.","translation":"","solution":["akceptuje"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
63;{"sentences": [{"sentence":"Záchranář úspěšně _ našeho dědečka.","translation":"","solution":["resuscitoval"], "distractors":[] },{"sentence":"Bezvýhradně jsem _ její soukromí.","translation":"","solution":["respektoval"], "distractors":[] },{"sentence":"Vyzývá člověka, aby _ vlastní život včetně mylných představ a dospěl tak k vnitřní proměně.","translation":"","solution":["reflektoval"], "distractors":[] },{"sentence":"Pořád jsem přemítala, proč tak _ , když jsem se zmínila o Alici.","translation":"","solution":["reagoval"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
64;{"sentences": [{"sentence":"Učitel vhodným způsobem _ rozvoj žákovy motivace k učení.","translation":"","solution":["facilituje"], "distractors":[] },{"sentence":"Dívá se mi upřeně do očí, _ mě, taví mě svou vůlí.","translation":"","solution":["hypnotizuje"], "distractors":[] },{"sentence":"Navíc ale jako dramatik přirozeně _ a celý příběh vypráví na pozadí pohádky o Sněhurce.","translation":"","solution":["fabuluje"], "distractors":[] },{"sentence":"Vědec pečlivě _ své hypotézy.","translation":"","solution":["formuluje"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
65;{"sentences": [{"sentence":"Jenže ten zase někam zmizel a _ její telefonáty.","translation":"","solution":["ignoruje"], "distractors":[] },{"sentence":"Autorka se zjevně _ starým Řeckem a Římem.","translation":"","solution":["inspiruje"], "distractors":[] },{"sentence":"Každý z nás _ události tak, aby pro něj nabyly určitého smyslu.","translation":"","solution":["interpretuje"], "distractors":[] },{"sentence":"Dodnes mě však _ její plytké chování.","translation":"","solution":["irituje"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
66;{"sentences": [{"sentence":"Vždycky se ráda předváděla a _ .","translation":"","solution":["koketovala"], "distractors":[] },{"sentence":"Vážně jste celou situaci _ .","translation":"","solution":["zkomplikovala"], "distractors":[] },{"sentence":"Potom ještě naposled celý byt prošla a _ .","translation":"","solution":["zkontrolovala"], "distractors":[] },{"sentence":"Celou cestu ho nelítostně _ .","translation":"","solution":["kritizovala"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
67;{"sentences": [{"sentence":"Cenu před značkou _ 8 z 10 seniorů.","translation":"","solution":["preferuje"], "distractors":[] },{"sentence":"Ondřej _ svůj návrh zbytku týmu.","translation":"","solution":["prezentuje"], "distractors":[] },{"sentence":"Trenér _ své oblíbence.","translation":"","solution":["protežuje"], "distractors":[] },{"sentence":"Tomáš na základě analyzovaných dat _ , že vítězem mistrovství se stane Německo.","translation":"","solution":["predikuje"], "distractors":[] }] };;;;1;2019-11-29 14:09:32
68;{"sentences": [{"sentence":"Moje sestra _ večírek na sobotní večer.","translation":"","solution":["organizuje"], "distractors":[] },{"sentence":"Rodiče se kdesi doslechli, že jistý profesor neurochirurgie _ nemocné s parkinsonem.","translation":"","solution":["operuje"], "distractors":[] },{"sentence":"Pár hostů půl dne zbůhdarma _ jeden ze stolků.","translation":"","solution":["okupuje"], "distractors":[] },{"sentence":"Dokonce jí objednala sanitku, ačkoliv příslušný lékař _ nedaleko kliniky.","translation":"","solution":["ordinuje"], "distractors":[] }] };;;;1;2019-11-29 14:09:33
69;{"sentences": [{"sentence":"Ve dvaceti letech se začal tenisem živit jako _ .","translation":"","solution":["profesionál"], "distractors":[] },{"sentence":"Na rozcvičení hráčů dohlížel _ trenéra.","translation":"","solution":["asistent"], "distractors":[] },{"sentence":"I tak byl mnohý český fotbalový _ napjatý, jak zápas dopadne.","translation":"","solution":["fanoušek"], "distractors":[] },{"sentence":"Pohybové problémy pomáhá týmu řešit zkušený _ .","translation":"","solution":["fyzioterapeut"], "distractors":[] }] };;;;1;2019-12-01 17:13:26
70;{"sentences": [{"sentence":"Novák vhodil dlouhý _ a Hrdlička hlavičkou skóroval.","translation":"","solution":["aut"], "distractors":[] },{"sentence":"Rozhodčí odpískal _ a nařídil penaltu.","translation":"","solution":["faul"], "distractors":[] },{"sentence":"Krasobruslař intenzivně trénuje, jak se skáče _ .","translation":"","solution":["axel"], "distractors":[] },{"sentence":"Tenisté vešli na _ .","translation":"","solution":["kurt"], "distractors":[] }] };;;;1;2019-12-01 17:13:27
71;{"sentences": [{"sentence":"Měl namožené zápěstí, kvůli němuž nemohl pořádně zahrát _ .","translation":"","solution":["bekhend"], "distractors":[] },{"sentence":"Hokejista předvedl ukázkový _ .","translation":"","solution":["bodyček"], "distractors":[] },{"sentence":"Fotbalisté vstřelili branku, která však nebyla pro _ uznána.","translation":"","solution":["ofsajd"], "distractors":[] },{"sentence":"Naopak Sokolov využil rychlý _ a následnou standardku.","translation":"","solution":["brejk"], "distractors":[] }] };;;;1;2019-12-01 17:13:27
72;{"sentences": [{"sentence":"Výměnu zakončila krásná _ našeho tenisty.","translation":"","solution":["smeč"], "distractors":[] },{"sentence":"Čekají nás teď těžká utkání a _ bude zase rozhodovat.","translation":"","solution":["defenziva"], "distractors":[] },{"sentence":"Bouřící domácí _ nadšeně jásala.","translation":"","solution":["aréna"], "distractors":[] },{"sentence":"Sezonu zahájí Ostravská _ , závod ve skoku vysokém.","translation":"","solution":["laťka"], "distractors":[] }] };;;;1;2019-12-01 17:13:27
