problem,sentence,solutions,fullname,pred,certainty
30,I _ you good luck.,wish,slovesa-zaklad-2-uroven,wish,9.656723141670227
31,Can you _ the right answer?,guess,slovesa-komunikace-2-uroven,guess,7.372952699661255
31,I will _ your questions. ,answer,slovesa-komunikace-2-uroven,answer,7.372952699661255
31,I want the truth! Don't _ to me.,lie,slovesa-komunikace-2-uroven,lie,7.372952699661255
31,Will you _ me your picture?,show,slovesa-komunikace-2-uroven,show,7.372952699661255
31,She wants to _ her story with us.,share,slovesa-komunikace-2-uroven,share,7.372952699661255
32,You have to _ them with a smile.,greet,slovesa-komunikace-2-uroven,greet,7.125237166881561
32,They _ old furniture.,sell,slovesa-komunikace-2-uroven,sell,7.125237166881561
32,He will _ me around town.,guide,slovesa-komunikace-2-uroven,guide,7.125237166881561
32,My parents _ a lot.,argue,slovesa-komunikace-2-uroven,argue,7.125237166881561
32,I can _ you more money.,offer,slovesa-komunikace-2-uroven,offer,7.125237166881561
33,Can I _ you later?,call,slovesa-komunikace-2-uroven,call,8.70216953754425
33,She has to _ to her parents.,listen,slovesa-komunikace-2-uroven,listen,8.70216953754425
33,Do you _ with what I said?,agree,slovesa-komunikace-2-uroven,agree,8.70216953754425
33,I _ your kindness.,appreciate,slovesa-komunikace-2-uroven,appreciate,8.70216953754425
33,Would you like to _ on this?,comment,slovesa-komunikace-2-uroven,comment,8.70216953754425
34,Do you want to _ around the pond?,skate,pohybova-slovesa-2-uroven,skate,5.345507383346558
34,It's too cold to _ in the ocean.,swim,pohybova-slovesa-2-uroven,swim,5.345507383346558
34,She can _ on the couch.,sit,pohybova-slovesa-2-uroven,sit,5.345507383346558
34,Did you _ for the lost keys?,search,pohybova-slovesa-2-uroven,search,5.345507383346558
34,He wants to _ Mt Everest.,climb,pohybova-slovesa-2-uroven,climb,5.345507383346558
35,Go ahead and _ the ball. ,kick,pohybova-slovesa-3-uroven,kick,5.948795139789581
35,We can _ around to feel warm.,move,pohybova-slovesa-3-uroven,move,5.948795139789581
35,"If you know the answer, _ your hand.",raise,pohybova-slovesa-3-uroven,raise,5.948795139789581
35,You should _ up the trash.,pick,pohybova-slovesa-3-uroven,pick,5.948795139789581
35,Do you want to _ to the music with him?,dance,pohybova-slovesa-3-uroven,dance,5.948795139789581
36,They would _ there by plane.,fly,pohybova-slovesa-2-uroven,fly,5.281798899173737
36,How fast can you _ a mile?,run,pohybova-slovesa-2-uroven,run,5.281798899173737
36,I will _ a deep hole here.,dig,pohybova-slovesa-2-uroven,dig,5.281798899173737
36,"Can you _ around and not look, please?",turn,pohybova-slovesa-2-uroven,turn,5.281798899173737
36,He can _ the boxes for you.,carry,pohybova-slovesa-2-uroven,carry,5.281798899173737
37,You can _ here and watch.,stand,pohybova-slovesa-2-uroven,stand,7.02045214176178
37,"Please, _ me the ball.",throw,pohybova-slovesa-2-uroven,throw,7.02045214176178
37,She can _ a horse.,ride,pohybova-slovesa-2-uroven,ride,7.02045214176178
37,"You will _ down, if you are not careful.",fall,pohybova-slovesa-2-uroven,fall,7.02045214176178
37,Will you _ my hand?,hold,pohybova-slovesa-2-uroven,hold,7.02045214176178
38,I can _ for a better price.,bargain,slovesa-komunikace-2-uroven,bargain,7.549787521362305
38,She wants to _ to you.,speak,slovesa-komunikace-2-uroven,speak,7.549787521362305
38,They will _ the flight for us.,book,slovesa-komunikace-2-uroven,book,7.549787521362305
38,"Please, _ me inside.",follow,slovesa-komunikace-2-uroven,follow,7.549787521362305
38,How do you _ your name?,spell,slovesa-komunikace-2-uroven,spell,7.549787521362305
39,Does she _ singing?,enjoy,slovesa-zaklad-3-uroven,enjoy,6.755306005477905
39,I _ my keys a lot.,forget,slovesa-zaklad-3-uroven,forget,6.755306005477905
39,Do you _ around here?,live,slovesa-zaklad-3-uroven,live,6.755306005477905
39,They _ the way to the city.,know,slovesa-zaklad-3-uroven,know,6.755306005477905
39,He can _ to five now.,count,slovesa-zaklad-3-uroven,count,6.755306005477905
40,Do you miss your _ ?,wife,rodina-lide-2-uroven,wife,4.8442299365997314
40,Tom offered to help his _ .,neighbour,rodina-lide-2-uroven,neighbour,4.8442299365997314
40,I want to join your _ .,group,rodina-lide-2-uroven,group,4.8442299365997314
40,Can you guess my _ ?,age,rodina-lide-2-uroven,age,4.8442299365997314
41,Put it on the _ .,table,dum-casti-domu-2-uroven,table,4.222621321678162
41,Tom backed his car out of the _ .,garage,dum-casti-domu-2-uroven,garage,4.222621321678162
41,The room is at the end of the _ .,hall,dum-casti-domu-2-uroven,hall,4.222621321678162
41,This _ can seat three people easily.,sofa,dum-casti-domu-2-uroven,sofa,4.222621321678162
42,Small children are very _ .,curious,pridavna-jmena-2-uroven,curious,5.423952341079712
42,One of the answers is _ .,correct,pridavna-jmena-2-uroven,correct,5.423952341079712
42,The window is _ .,open,pridavna-jmena-2-uroven,open,5.423952341079712
42,The radio is a bit _ .,loud,pridavna-jmena-2-uroven,loud,5.423952341079712
43,Petrol is no longer a _ fuel.,cheap,pridavna-jmena-2-uroven,cheap,4.483911097049713
43,You are very _ .,beautiful,pridavna-jmena-2-uroven,beautiful,4.483911097049713
43,"My bath towel was _ , so it was of no use.",wet,pridavna-jmena-2-uroven,wet,4.483911097049713
43,The wind is _ today.,cold,pridavna-jmena-2-uroven,cold,4.483911097049713
44,He is a very _ swimmer.,fast,pridavna-jmena-2-uroven,fast,6.627078175544739
44,Winter is my _ season.,favourite,pridavna-jmena-2-uroven,favourite,6.627078175544739
44,Is the snake alive or _ ?,dead,pridavna-jmena-2-uroven,dead,6.627078175544739
44,The bread is _ .,fresh,pridavna-jmena-2-uroven,fresh,6.627078175544739
45,He used to be a _ man.,quiet,pridavna-jmena-2-uroven,quiet,6.856796383857727
45,My _ colour is red.,favourite,pridavna-jmena-2-uroven,favourite,6.856796383857727
45,Water is _ .,transparent,pridavna-jmena-2-uroven,transparent,6.856796383857727
45,A cow is a _ animal.,useful,pridavna-jmena-2-uroven,useful,6.856796383857727
46,Iron is more _ than gold.,useful,pridavna-jmena-2-uroven,useful,5.173961877822876
46,Are my socks _ already?,dry,pridavna-jmena-2-uroven,dry,5.173961877822876
46,My fingertips are _ .,frozen,pridavna-jmena-2-uroven,frozen,5.173961877822876
46,The day was _ .,hot,pridavna-jmena-2-uroven,hot,5.173961877822876
47,Everybody knows him. He is very _ .,famous,pridavna-jmena-2-uroven,famous,3.2604663968086243
47,That is a nice dress. You look _ .,beautiful,pridavna-jmena-2-uroven,beautiful,3.2604663968086243
47,His dog is ill. He is _ .,sad,pridavna-jmena-2-uroven,sad,3.2604663968086243
47,She has lot of money. She is _ .,rich,pridavna-jmena-2-uroven,rich,3.2604663968086243
48,The lake is quite _ .,shallow,pridavna-jmena-2-uroven,shallow,5.754615068435669
48,Be careful! The box is very _ .,heavy,pridavna-jmena-2-uroven,heavy,5.754615068435669
48,Our street is very _ .,wide,pridavna-jmena-2-uroven,wide,5.754615068435669
48,That was a _ joke.,silly,pridavna-jmena-2-uroven,silly,5.754615068435669
48,I have a very _ knife.,sharp,pridavna-jmena-2-uroven,sharp,5.754615068435669
54,Wild animals live in the _ .,forest,krajina-svet-2-uroven,forest,4.445479094982147
54,The horse is at the _ .,farm,krajina-svet-2-uroven,farm,4.445479094982147
54,Look at this shining _ .,star,krajina-svet-2-uroven,star,4.445479094982147
54,We went swimming in the _ .,river,krajina-svet-2-uroven,river,4.445479094982147
55,This _ is deepest here.,river,krajina-svet-2-uroven,river,5.274367153644562
55,The _ was packed with tourists.,beach,krajina-svet-2-uroven,beach,5.274367153644562
55,Tom told me not to go into the _ .,cave,krajina-svet-2-uroven,cave,5.274367153644562
55,We're heading _ .,north,krajina-svet-2-uroven,north,5.274367153644562
56,A river flows through the _ .,valley,krajina-svet-2-uroven,valley,4.172231316566467
56,The _ is covered with snow.,mountain,krajina-svet-2-uroven,mountain,4.172231316566467
56,The station is to the _ of the hotel.,west,krajina-svet-2-uroven,west,4.172231316566467
56,The homes on the _ are very expensive.,coast,krajina-svet-2-uroven,coast,4.172231316566467
57,The moon is not always the same _ away from Earth.,distance,krajina-svet-2-uroven,distance,4.678112626075745
57,They stood on the top of the _ .,hill,krajina-svet-2-uroven,hill,4.678112626075745
57,The _ level is rising.,sea,krajina-svet-2-uroven,sea,4.678112626075745
57,The _ is yellow.,sun,krajina-svet-2-uroven,sun,4.678112626075745
58,It's warm today so you can swim in the _ .,sea,krajina-svet-2-uroven,sea,4.153859734535217
58,Many tourists come to see the _ .,waterfall,krajina-svet-2-uroven,waterfall,4.153859734535217
58,There are many rivers on that _ .,island,krajina-svet-2-uroven,island,4.153859734535217
58,They went _ climbing.,rock,krajina-svet-2-uroven,rock,4.153859734535217
59,Tom started chasing Mary around the _ .,playground,mesto-2-uroven,playground,4.195337533950806
59,He is studying history at the _ .,university,mesto-2-uroven,university,4.195337533950806
59,Which _ do I leave from?,airport,mesto-2-uroven,airport,4.195337533950806
59,The ship passed under the _ .,bridge,mesto-2-uroven,bridge,4.195337533950806
60,The _ is very long and very tall.,bridge,mesto-2-uroven,bridge,4.557083189487457
60,My children are at _ .,school,mesto-2-uroven,school,4.557083189487457
60,Tom bought a ticket to the _ for himself.,cinema,mesto-2-uroven,cinema,4.557083189487457
60,She works at the _ .,bank,mesto-2-uroven,bank,4.557083189487457
61,"When he entered the _ , the film had already begun.",cinema,mesto-2-uroven,cinema,4.477575421333313
61,Stop playing video games and get to the _ .,gym,mesto-2-uroven,gym,4.477575421333313
61,Our _ has five rooms.,flat,mesto-2-uroven,flat,4.477575421333313
61,The _ has many books.,library,mesto-2-uroven,library,4.477575421333313
62,I returned the book to the _ .,library,mesto-2-uroven,library,4.921771943569183
62,He went to the _ to mail the letter.,post office,mesto-2-uroven,post office,4.921771943569183
62,The palace has a tall _ .,tower,mesto-2-uroven,tower,4.921771943569183
62,The train is at the _ .,railway station,mesto-2-uroven,railway station,4.921771943569183
63,The demonstrators gathered in the _ .,square,mesto-2-uroven,square,4.4235376715660095
63,It's the highest _ in this city.,building,mesto-2-uroven,building,4.4235376715660095
63,I go to the _ on Sundays.,church,mesto-2-uroven,church,4.4235376715660095
63,The purpose of a _ is to slow down traffic.,roundabout,mesto-2-uroven,roundabout,4.4235376715660095
64,The _ usually opened at this time.,theatre,mesto-2-uroven,theatre,4.770585417747498
64,Whoever goes to _ believes in God.,church,mesto-2-uroven,church,4.770585417747498
64,Dozens of cars were parked in the _ .,parking lot,mesto-2-uroven,parking lot,4.770585417747498
64,I am doing shopping at the _ .,market,mesto-2-uroven,market,4.770585417747498
65,There are no restrooms in this _ .,building,mesto-2-uroven,building,5.075634062290192
65,She went to the _ to buy fresh vegetables.,market,mesto-2-uroven,market,5.075634062290192
65,He got off at the next _ .,bus stop,mesto-2-uroven,bus stop,5.075634062290192
65,The doctor works in a _ .,hospital,mesto-2-uroven,hospital,5.075634062290192
66,Your blouse goes beautifully with that _ .,skirt,obleceni-2-uroven,skirt,5.2546206414699554
66,Tom bought a straw _ .,hat,obleceni-2-uroven,hat,5.2546206414699554
66,Take your _ in case it rains.,raincoat,obleceni-2-uroven,raincoat,5.2546206414699554
66,I can't read without _ .,glasses,obleceni-2-uroven,glasses,5.2546206414699554
67,He cannot see anything without his _ .,glasses,obleceni-2-uroven,glasses,4.727228164672852
67,Franco has blue _ .,jeans,obleceni-2-uroven,jeans,4.727228164672852
67,Tom put his keys in his _ .,pocket,obleceni-2-uroven,pocket,4.727228164672852
67,She has a _ around her neck.,scarf,obleceni-2-uroven,scarf,4.727228164672852
68,What do you have in your _ ?,pocket,obleceni-2-uroven,pocket,4.261485993862152
68,Will you knit a _ for me?,sweater,obleceni-2-uroven,sweater,4.261485993862152
68,Do you prefer buying clothes with or without a _ ?,hood,obleceni-2-uroven,hood,4.261485993862152
68,Mary wears a sports _ for exercise.,bra,obleceni-2-uroven,bra,4.261485993862152
69,Fasten your seat _ .,belt,obleceni-2-uroven,belt,8.804005086421967
69,My _ is grey.,suit,obleceni-2-uroven,suit,8.804005086421967
69,Tom took his clothes off and put the _ on.,pyjamas,obleceni-2-uroven,pyjamas,8.804005086421967
69,My _ are wet.,underpants,obleceni-2-uroven,underpants,8.804005086421967
70,All the students were wearing black _ .,T-shirts,obleceni-2-uroven,T-shirts,6.291206240653992
70,He held her by the _ .,sleeve,obleceni-2-uroven,sleeve,6.291206240653992
70,There is a hole in his _ .,sock,obleceni-2-uroven,sock,6.291206240653992
70,Do I need a _ ?,tie,obleceni-2-uroven,tie,6.291206240653992
71,It looks like a fish _ got stuck in my throat.,bone,casti-tela-2-uroven,bone,4.6431310176849365
71,Humans have very large _ .,brains,casti-tela-2-uroven,brains,4.6431310176849365
71,Tom apologized for stepping on my _ .,foot,casti-tela-2-uroven,foot,4.6431310176849365
71,The human _ consists of 23 bones.,skull,casti-tela-2-uroven,skull,4.6431310176849365
72,Keep your _ out of my business.,nose,casti-tela-2-uroven,nose,4.139312267303467
72,Tom is biting his _ .,nails,casti-tela-2-uroven,nails,4.139312267303467
72,I bit my _ .,lip,casti-tela-2-uroven,lip,4.139312267303467
72,He ran his _ through her hair.,fingers,casti-tela-2-uroven,fingers,4.139312267303467
73,She never paints her _ red.,lips,casti-tela-2-uroven,lips,5.359637975692749
73,The back of my _ hurts.,neck,casti-tela-2-uroven,neck,5.359637975692749
73,Mary has blue _ .,eyes,casti-tela-2-uroven,eyes,5.359637975692749
73,I have tennis _ .,elbow,casti-tela-2-uroven,elbow,5.359637975692749
74,I kissed her on her _ .,forehead,casti-tela-2-uroven,forehead,5.051238059997559
74,You should not drink on an empty _ .,stomach,casti-tela-2-uroven,stomach,5.051238059997559
74,Her _ is as white as snow.,skin,casti-tela-2-uroven,skin,5.051238059997559
74,Tom hurt his _ .,knee,casti-tela-2-uroven,knee,5.051238059997559
75,Wash your _ and hands.,face,casti-tela-2-uroven,face,5.782679915428162
75,I had a _ pulled.,tooth,casti-tela-2-uroven,tooth,5.782679915428162
75,Mary had her _ read.,palm,casti-tela-2-uroven,palm,5.782679915428162
75,Alcohol damages the _ .,liver,casti-tela-2-uroven,liver,5.782679915428162
76,How do you _ that in German?,say,slovesa-komunikace-2-uroven,say,5.905347406864166
76,You should _ the weather before you go out.,check,slovesa-komunikace-2-uroven,check,5.905347406864166
76,I _ your help.,appreciate,slovesa-komunikace-2-uroven,appreciate,5.905347406864166
76,He doesn't have a job. He needs to _ for money.,beg,slovesa-komunikace-2-uroven,beg,5.905347406864166
77,Can she _ this book? ,borrow,slovesa-komunikace-2-uroven,borrow,5.990440249443054
77,I would like to _ that we are coming. ,confirm,slovesa-komunikace-2-uroven,confirm,5.990440249443054
77,They _ with you. ,disagree,slovesa-komunikace-2-uroven,disagree,5.990440249443054
77,You should _ these cards into two groups.,divide,slovesa-komunikace-2-uroven,divide,5.990440249443054
78,Will you _ us for dinner tonight?,join,slovesa-komunikace-2-uroven,join,7.056352019309998
78,Did you _ when he fell?,notice,slovesa-komunikace-2-uroven,notice,7.056352019309998
78,Visitors have to _ a permit.,obtain,slovesa-komunikace-2-uroven,obtain,7.056352019309998
78,Let's _ we are rich!,pretend,slovesa-komunikace-2-uroven,pretend,7.056352019309998
79,You should _ the package in three days.,receive,slovesa-komunikace-2-uroven,receive,5.8780049085617065
79,She shouldn't _ at strangers.,shout,slovesa-komunikace-2-uroven,shout,5.8780049085617065
79,The doctor will _ their wounds.,examine,slovesa-komunikace-2-uroven,examine,5.8780049085617065
79,How do you _ his behaviour?,interpret,slovesa-komunikace-2-uroven,interpret,5.8780049085617065
80,If you're happy and you know it _ your hands!,clap,pohybova-slovesa-2-uroven,clap,6.438922584056854
80,It's not far. We can _ there.,walk,pohybova-slovesa-2-uroven,walk,6.438922584056854
80,They can't _ on the bed.,jump,pohybova-slovesa-2-uroven,jump,6.438922584056854
80,You should definitely _ tomorrow!,come,pohybova-slovesa-2-uroven,come,6.438922584056854
80,Be careful not to _ the glass.,drop,pohybova-slovesa-2-uroven,drop,6.438922584056854
81,When did you _ here?,arrive,pohybova-slovesa-3-uroven,arrive,7.860224783420563
81,Don't _ over the railing.,bend,pohybova-slovesa-3-uroven,bend,7.860224783420563
81,"They like to _ down the street, playing soldiers.",march,pohybova-slovesa-3-uroven,march,7.860224783420563
81,Sometimes I _ him on the street.,pass,pohybova-slovesa-3-uroven,pass,7.860224783420563
81,Your temperature shouldn't _ anymore.,rise,pohybova-slovesa-3-uroven,rise,7.860224783420563
82,"If you are careful, you can _ right past them.",slip,pohybova-slovesa-3-uroven,slip,6.181571841239929
82,Monkeys like to _ on the trees.,swing,pohybova-slovesa-3-uroven,swing,6.181571841239929
82,"Please, _ me alone for a moment.",leave,pohybova-slovesa-3-uroven,leave,6.181571841239929
82,Don't _ me with those dirty hands!,touch,pohybova-slovesa-3-uroven,touch,6.181571841239929
82,I prefer not to _ myself to anything.,bind,pohybova-slovesa-3-uroven,bind,6.181571841239929
83,We will _ the animals back into the wild.,release,pohybova-slovesa-3-uroven,release,6.351544737815857
83,They should _ at some point.,appear,pohybova-slovesa-3-uroven,appear,6.351544737815857
83,"If it falls into the water, it's going to _ .",sink,pohybova-slovesa-3-uroven,sink,6.351544737815857
83,We should make up and _ .,embrace,pohybova-slovesa-3-uroven,embrace,6.351544737815857
83,She has to _ the laundry first.,sort,pohybova-slovesa-3-uroven,sort,6.351544737815857
84,We need to _ the costs.,cut down,frazova-slovesa-2-uroven,cut down,5.825173854827881
84,I will _ the problem.,look into,frazova-slovesa-2-uroven,look into,5.825173854827881
84,You can not _ to the pressure.,give in,frazova-slovesa-2-uroven,give in,5.825173854827881
84,She wants to _ .,go away,frazova-slovesa-2-uroven,go away,5.825173854827881
85,You should _ something warm.,put on,frazova-slovesa-2-uroven,put on,7.803650259971619
85,I think the car is going to _ soon.,break down,frazova-slovesa-2-uroven,break down,7.803650259971619
85,They need to _ of the house.,move out,frazova-slovesa-2-uroven,move out,7.803650259971619
85,The prisoners should be _ .,set free,frazova-slovesa-2-uroven,set free,7.803650259971619
86,You can’t _ on your colleagues.,look down,frazova-slovesa-2-uroven,hang up,5.937132000923157
86,"Please, _ with your exercise.",go on,frazova-slovesa-2-uroven,go on,5.937132000923157
86,She will _ on me. ,hang up,frazova-slovesa-2-uroven,look down,5.937132000923157
86,We will soon _ of potatoes. ,run out,frazova-slovesa-2-uroven,run out,5.937132000923157
87,She should _ with him.,break up,frazova-slovesa-2-uroven,break up,5.251888394355774
87,He will _ the files.,look through,frazova-slovesa-2-uroven,look through,5.251888394355774
87,They don’t _ very well.,get on,frazova-slovesa-2-uroven,get on,5.251888394355774
87,Don’t _ calling him. ,put off,frazova-slovesa-2-uroven,put off,5.251888394355774
88,I will _ the page you sent me. ,check out,frazova-slovesa-2-uroven,check out,4.575632691383362
88,The children will _ faster than you think.,grow up,frazova-slovesa-2-uroven,grow up,4.575632691383362
88,Let’s _ for now.,split up,frazova-slovesa-2-uroven,split up,4.575632691383362
88,He needs to _ more if he wants to be in shape.,work out,frazova-slovesa-2-uroven,work out,4.575632691383362
89,You shouldn’t _ people who are speaking.,cut off,frazova-slovesa-2-uroven,cut off,5.937346816062927
89,She wants her dreams to _ . ,come true,frazova-slovesa-2-uroven,come true,5.937346816062927
89,They are going to _ together next month.,move in,frazova-slovesa-2-uroven,move in,5.937346816062927
89,I want to _ on an adventure. ,set out,frazova-slovesa-2-uroven,set out,5.937346816062927
90,He didn’t _ yesterday.,show up,frazova-slovesa-2-uroven,show up,6.447248339653015
90,I hope it don’t _ as rude.,come across,frazova-slovesa-2-uroven,come across,6.447248339653015
90,Will you _ my cat?,look after,frazova-slovesa-2-uroven,look after,6.447248339653015
90,She _ for a raise.,put in,frazova-slovesa-2-uroven,put in,6.447248339653015
91,It shouldn’t _ the whole population.,cut across,frazova-slovesa-2-uroven,cut across,5.62135910987854
91,Don’t forget to _ his number.,put down,frazova-slovesa-2-uroven,put down,5.62135910987854
91,The handle will _ if you force it.,come off,frazova-slovesa-2-uroven,come off,5.62135910987854
91,You can _ it in some book.,look for,frazova-slovesa-2-uroven,look for,5.62135910987854
93,Our _ sleeps all day.,cat,zvirata-mix-2-uroven,cat,4.282375752925873
93,We keep _ for wool and milk.,sheep,zvirata-mix-2-uroven,sheep,4.282375752925873
93,You can ride a _ or use it for work.,horse,zvirata-mix-2-uroven,horse,4.282375752925873
93,The feather is from that _ .,chicken,zvirata-mix-2-uroven,chicken,4.282375752925873
94,You can give the carrot to the _ .,rabbit,zvirata-mix-1-uroven,donkey,3.1980278491973877
94,There is a _ on the pond.,duck,zvirata-mix-1-uroven,duck,3.1980278491973877
94,The milk comes from this _ .,cow,zvirata-mix-1-uroven,cow,3.1980278491973877
94,It’s better to use _ for work than for riding. ,donkey,zvirata-mix-1-uroven,rabbit,3.1980278491973877
95,A _ lays eggs.,hen,zvirata-mix-2-uroven,hen,4.398134142160416
95,We have a lots of hens but only one _ .,cock,zvirata-mix-2-uroven,cock,4.398134142160416
95,A baby dog is called _ . ,puppy,zvirata-mix-2-uroven,puppy,4.398134142160416
95,Our _ likes to climb on everything.,goat,zvirata-mix-2-uroven,goat,4.398134142160416
96,A baby cat is called _ .,kitten,zvirata-mix-2-uroven,kitten,3.209691047668457
96,There is a _ guarding the house.,dog,zvirata-mix-2-uroven,dog,3.209691047668457
96,A _ will eat almost anything.,pig,zvirata-mix-2-uroven,pig,3.209691047668457
96,A _ can swim very well.,goose,zvirata-mix-2-uroven,goose,3.209691047668457
97,A male horse is called _ .,stallion,zvirata-mix-3-uroven,stallion,6.750187993049622
