problem,solutions_agg,sentence,level,topic,fullname,solutions,pred
20,"['married', 'family', 'grandfather', 'surname']",Do you remember your _ ?,3,rodina-lide,rodina-lide-3-uroven,grandfather,family
20,"['married', 'family', 'grandfather', 'surname']",How is your _ pronounced?,3,rodina-lide,rodina-lide-3-uroven,surname,surname
21,"['brother', 'people', 'name', 'friend']",My older _ is a teacher.,2,rodina-lide,rodina-lide-2-uroven,brother,brother
21,"['brother', 'people', 'name', 'friend']",Many _ were there.,2,rodina-lide,rodina-lide-2-uroven,people,people
21,"['brother', 'people', 'name', 'friend']",Write your _ .,2,rodina-lide,rodina-lide-2-uroven,name,name
21,"['brother', 'people', 'name', 'friend']",He is a childhood _ .,2,rodina-lide,rodina-lide-2-uroven,friend,friend
22,"['father', 'girl', 'boyfriend', 'daughter']",What does your _ do?,2,rodina-lide,rodina-lide-2-uroven,father,daughter
22,"['father', 'girl', 'boyfriend', 'daughter']",He married a rich _ .,2,rodina-lide,rodina-lide-2-uroven,girl,girl
22,"['father', 'girl', 'boyfriend', 'daughter']",Tom was my first _ .,2,rodina-lide,rodina-lide-2-uroven,boyfriend,boyfriend
22,"['father', 'girl', 'boyfriend', 'daughter']","Yes, I have a _ .",2,rodina-lide,rodina-lide-2-uroven,daughter,boyfriend
23,"['sleep', 'drink', 'read', 'close']",Can I _ in this bed? ,1,slovesa-zaklad,slovesa-zaklad-1-uroven,sleep,sleep
23,"['sleep', 'drink', 'read', 'close']",I would like to _ mineral water.,1,slovesa-zaklad,slovesa-zaklad-1-uroven,drink,drink
23,"['sleep', 'drink', 'read', 'close']",I like to _ fantasy books.,1,slovesa-zaklad,slovesa-zaklad-1-uroven,read,read
23,"['sleep', 'drink', 'read', 'close']","Please, can you _ the window?",1,slovesa-zaklad,slovesa-zaklad-1-uroven,close,close
24,"['build', 'write', 'remember', 'ring', 'cry']",We are going to _ a wall.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,build,build
24,"['build', 'write', 'remember', 'ring', 'cry']",I _ a letter.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,write,write
24,"['build', 'write', 'remember', 'ring', 'cry']",Do you _ us?,2,slovesa-zaklad,slovesa-zaklad-2-uroven,remember,remember
24,"['build', 'write', 'remember', 'ring', 'cry']",The bells started to _ .,2,slovesa-zaklad,slovesa-zaklad-2-uroven,ring,ring
24,"['build', 'write', 'remember', 'ring', 'cry']",He made her _ .,2,slovesa-zaklad,slovesa-zaklad-2-uroven,cry,cry
25,"['sing', 'thank', 'count', 'forget']",I want to _ a song.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,sing,sing
25,"['sing', 'thank', 'count', 'forget']",You should _ him.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,thank,thank
25,"['sing', 'thank', 'count', 'forget']",My son still cannot _ .,3,slovesa-zaklad,slovesa-zaklad-3-uroven,count,sing
25,"['sing', 'thank', 'count', 'forget']",I'll never _ you.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,forget,forget
26,"['drink', 'eat', 'wash', 'smoke']",Do you _ alcohol?,2,slovesa-zaklad,slovesa-zaklad-2-uroven,drink,drink
26,"['drink', 'eat', 'wash', 'smoke']",Cows _ grass.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,eat,eat
26,"['drink', 'eat', 'wash', 'smoke']",I _ my hands.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,wash,wash
26,"['drink', 'eat', 'wash', 'smoke']",Do you _ ?,2,slovesa-zaklad,slovesa-zaklad-2-uroven,smoke,smoke
27,"['enjoy', 'dream', 'wake']",I _ Tom's company.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,enjoy,enjoy
27,"['enjoy', 'dream', 'wake']",I used to _ of him.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,dream,dream
27,"['enjoy', 'dream', 'wake']",I _ up early.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,wake,wake
28,"['open', 'ask', 'eat', 'paint', 'travel']","Will you _ the door, please?",1,slovesa-zaklad,slovesa-zaklad-1-uroven,open,open
28,"['open', 'ask', 'eat', 'paint', 'travel']",Can I _ you a question?,1,slovesa-zaklad,slovesa-zaklad-1-uroven,ask,ask
28,"['open', 'ask', 'eat', 'paint', 'travel']",She will _ the pizza.,1,slovesa-zaklad,slovesa-zaklad-1-uroven,eat,eat
28,"['open', 'ask', 'eat', 'paint', 'travel']",Do you want to _  a picture for me?,1,slovesa-zaklad,slovesa-zaklad-1-uroven,paint,paint
28,"['open', 'ask', 'eat', 'paint', 'travel']",We will _ to Africa.,1,slovesa-zaklad,slovesa-zaklad-1-uroven,travel,travel
29,"['sleep', 'see', 'want', 'send', 'wait']",I am tired. I should go to _ .,2,slovesa-zaklad,slovesa-zaklad-2-uroven,sleep,sleep
29,"['sleep', 'see', 'want', 'send', 'wait']",What can you _ on the picture?,2,slovesa-zaklad,slovesa-zaklad-2-uroven,see,see
29,"['sleep', 'see', 'want', 'send', 'wait']",They _ a new car.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,want,want
29,"['sleep', 'see', 'want', 'send', 'wait']",She will _ me a letter.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,send,send
29,"['sleep', 'see', 'want', 'send', 'wait']","Please, _ for five minutes.",2,slovesa-zaklad,slovesa-zaklad-2-uroven,wait,wait
30,"['need', 'work', 'take', 'must', 'wish']",Do you _ any help?,2,slovesa-zaklad,slovesa-zaklad-2-uroven,need,need
30,"['need', 'work', 'take', 'must', 'wish']",We _ together.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,work,work
30,"['need', 'work', 'take', 'must', 'wish']",I can _ the bag.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,take,take
30,"['need', 'work', 'take', 'must', 'wish']",You _ help me.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,must,must
30,"['need', 'work', 'take', 'must', 'wish']",I _ you good luck.,2,slovesa-zaklad,slovesa-zaklad-2-uroven,wish,wish
31,"['guess', 'answer', 'lie', 'show', 'share']",Can you _ the right answer?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,guess,guess
31,"['guess', 'answer', 'lie', 'show', 'share']",I will _ your questions. ,2,slovesa-komunikace,slovesa-komunikace-2-uroven,answer,answer
31,"['guess', 'answer', 'lie', 'show', 'share']",I want the truth! Don't _ to me.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,lie,lie
31,"['guess', 'answer', 'lie', 'show', 'share']",Will you _ me your picture?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,show,show
31,"['guess', 'answer', 'lie', 'show', 'share']",She wants to _ her story with us.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,share,share
32,"['greet', 'sell', 'guide', 'argue', 'offer']",You have to _ them with a smile.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,greet,greet
32,"['greet', 'sell', 'guide', 'argue', 'offer']",They _ old furniture.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,sell,sell
32,"['greet', 'sell', 'guide', 'argue', 'offer']",He will _ me around town.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,guide,guide
32,"['greet', 'sell', 'guide', 'argue', 'offer']",My parents _ a lot.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,argue,argue
32,"['greet', 'sell', 'guide', 'argue', 'offer']",I can _ you more money.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,offer,offer
33,"['call', 'listen', 'agree', 'appreciate', 'comment']",Can I _ you later?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,call,call
33,"['call', 'listen', 'agree', 'appreciate', 'comment']",She has to _ to her parents.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,listen,listen
33,"['call', 'listen', 'agree', 'appreciate', 'comment']",Do you _ with what I said?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,agree,agree
33,"['call', 'listen', 'agree', 'appreciate', 'comment']",I _ your kindness.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,appreciate,appreciate
33,"['call', 'listen', 'agree', 'appreciate', 'comment']",Would you like to _ on this?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,comment,comment
34,"['skate', 'swim', 'sit', 'search', 'climb']",Do you want to _ around the pond?,2,pohybova-slovesa,pohybova-slovesa-2-uroven,skate,swim
34,"['skate', 'swim', 'sit', 'search', 'climb']",It's too cold to _ in the ocean.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,swim,swim
34,"['skate', 'swim', 'sit', 'search', 'climb']",She can _ on the couch.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,sit,sit
34,"['skate', 'swim', 'sit', 'search', 'climb']",Did you _ for the lost keys?,2,pohybova-slovesa,pohybova-slovesa-2-uroven,search,search
34,"['skate', 'swim', 'sit', 'search', 'climb']",He wants to _ Mt Everest.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,climb,climb
35,"['kick', 'move', 'raise', 'pick', 'dance']",Go ahead and _ the ball. ,3,pohybova-slovesa,pohybova-slovesa-3-uroven,kick,kick
35,"['kick', 'move', 'raise', 'pick', 'dance']",We can _ around to feel warm.,3,pohybova-slovesa,pohybova-slovesa-3-uroven,move,move
35,"['kick', 'move', 'raise', 'pick', 'dance']","If you know the answer, _ your hand.",3,pohybova-slovesa,pohybova-slovesa-3-uroven,raise,raise
35,"['kick', 'move', 'raise', 'pick', 'dance']",You should _ up the trash.,3,pohybova-slovesa,pohybova-slovesa-3-uroven,pick,pick
35,"['kick', 'move', 'raise', 'pick', 'dance']",Do you want to _ to the music with him?,3,pohybova-slovesa,pohybova-slovesa-3-uroven,dance,dance
36,"['fly', 'run', 'dig', 'turn', 'carry']",They would _ there by plane.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,fly,fly
36,"['fly', 'run', 'dig', 'turn', 'carry']",How fast can you _ a mile?,2,pohybova-slovesa,pohybova-slovesa-2-uroven,run,run
36,"['fly', 'run', 'dig', 'turn', 'carry']",I will _ a deep hole here.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,dig,dig
36,"['fly', 'run', 'dig', 'turn', 'carry']","Can you _ around and not look, please?",2,pohybova-slovesa,pohybova-slovesa-2-uroven,turn,turn
36,"['fly', 'run', 'dig', 'turn', 'carry']",He can _ the boxes for you.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,carry,carry
37,"['stand', 'throw', 'ride', 'fall', 'hold']",You can _ here and watch.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,stand,stand
37,"['stand', 'throw', 'ride', 'fall', 'hold']","Please, _ me the ball.",2,pohybova-slovesa,pohybova-slovesa-2-uroven,throw,throw
37,"['stand', 'throw', 'ride', 'fall', 'hold']",She can _ a horse.,2,pohybova-slovesa,pohybova-slovesa-2-uroven,ride,ride
37,"['stand', 'throw', 'ride', 'fall', 'hold']","You will _ down, if you are not careful.",2,pohybova-slovesa,pohybova-slovesa-2-uroven,fall,fall
37,"['stand', 'throw', 'ride', 'fall', 'hold']",Will you _ my hand?,2,pohybova-slovesa,pohybova-slovesa-2-uroven,hold,hold
38,"['bargain', 'speak', 'book', 'follow', 'spell']",I can _ for a better price.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,bargain,bargain
38,"['bargain', 'speak', 'book', 'follow', 'spell']",She wants to _ to you.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,speak,speak
38,"['bargain', 'speak', 'book', 'follow', 'spell']",They will _ the flight for us.,2,slovesa-komunikace,slovesa-komunikace-2-uroven,book,book
38,"['bargain', 'speak', 'book', 'follow', 'spell']","Please, _ me inside.",2,slovesa-komunikace,slovesa-komunikace-2-uroven,follow,follow
38,"['bargain', 'speak', 'book', 'follow', 'spell']",How do you _ your name?,2,slovesa-komunikace,slovesa-komunikace-2-uroven,spell,spell
39,"['enjoy', 'forget', 'live', 'know', 'count']",Does she _ singing?,3,slovesa-zaklad,slovesa-zaklad-3-uroven,enjoy,enjoy
39,"['enjoy', 'forget', 'live', 'know', 'count']",I _ my keys a lot.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,forget,forget
39,"['enjoy', 'forget', 'live', 'know', 'count']",Do you _ around here?,3,slovesa-zaklad,slovesa-zaklad-3-uroven,live,live
39,"['enjoy', 'forget', 'live', 'know', 'count']",They _ the way to the city.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,know,know
39,"['enjoy', 'forget', 'live', 'know', 'count']",He can _ to five now.,3,slovesa-zaklad,slovesa-zaklad-3-uroven,count,count
40,"['wife', 'neighbour', 'group', 'age']",Do you miss your _ ?,2,rodina-lide,rodina-lide-2-uroven,wife,wife
40,"['wife', 'neighbour', 'group', 'age']",Tom offered to help his _ .,2,rodina-lide,rodina-lide-2-uroven,neighbour,wife
40,"['wife', 'neighbour', 'group', 'age']",I want to join your _ .,2,rodina-lide,rodina-lide-2-uroven,group,group
40,"['wife', 'neighbour', 'group', 'age']",Can you guess my _ ?,2,rodina-lide,rodina-lide-2-uroven,age,age
41,"['table', 'garage', 'hall', 'sofa']",Put it on the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,table,table
41,"['table', 'garage', 'hall', 'sofa']",Tom backed his car out of the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,garage,garage
41,"['table', 'garage', 'hall', 'sofa']",The room is at the end of the _ .,2,dum-casti-domu,dum-casti-domu-2-uroven,hall,hall
41,"['table', 'garage', 'hall', 'sofa']",This _ can seat three people easily.,2,dum-casti-domu,dum-casti-domu-2-uroven,sofa,table
42,"['curious', 'correct', 'open', 'loud']",Small children are very _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,curious,curious
42,"['curious', 'correct', 'open', 'loud']",One of the answers is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,correct,correct
42,"['curious', 'correct', 'open', 'loud']",The window is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,open,open
42,"['curious', 'correct', 'open', 'loud']",The radio is a bit _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,loud,loud
43,"['cheap', 'beautiful', 'wet', 'cold']",Petrol is no longer a _ fuel.,2,pridavna-jmena,pridavna-jmena-2-uroven,cheap,cheap
43,"['cheap', 'beautiful', 'wet', 'cold']",You are very _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,beautiful,beautiful
43,"['cheap', 'beautiful', 'wet', 'cold']","My bath towel was _ , so it was of no use.",2,pridavna-jmena,pridavna-jmena-2-uroven,wet,wet
43,"['cheap', 'beautiful', 'wet', 'cold']",The wind is _ today.,2,pridavna-jmena,pridavna-jmena-2-uroven,cold,cold
44,"['fast', 'favourite', 'dead', 'fresh']",He is a very _ swimmer.,2,pridavna-jmena,pridavna-jmena-2-uroven,fast,fast
44,"['fast', 'favourite', 'dead', 'fresh']",Winter is my _ season.,2,pridavna-jmena,pridavna-jmena-2-uroven,favourite,favourite
44,"['fast', 'favourite', 'dead', 'fresh']",Is the snake alive or _ ?,2,pridavna-jmena,pridavna-jmena-2-uroven,dead,dead
44,"['fast', 'favourite', 'dead', 'fresh']",The bread is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,fresh,fast
45,"['quiet', 'favourite', 'transparent', 'useful']",He used to be a _ man.,2,pridavna-jmena,pridavna-jmena-2-uroven,quiet,quiet
45,"['quiet', 'favourite', 'transparent', 'useful']",My _ colour is red.,2,pridavna-jmena,pridavna-jmena-2-uroven,favourite,favourite
45,"['quiet', 'favourite', 'transparent', 'useful']",Water is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,transparent,useful
45,"['quiet', 'favourite', 'transparent', 'useful']",A cow is a _ animal.,2,pridavna-jmena,pridavna-jmena-2-uroven,useful,useful
46,"['useful', 'dry', 'frozen', 'hot']",Iron is more _ than gold.,2,pridavna-jmena,pridavna-jmena-2-uroven,useful,useful
46,"['useful', 'dry', 'frozen', 'hot']",Are my socks _ already?,2,pridavna-jmena,pridavna-jmena-2-uroven,dry,dry
46,"['useful', 'dry', 'frozen', 'hot']",My fingertips are _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,frozen,dry
46,"['useful', 'dry', 'frozen', 'hot']",The day was _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,hot,hot
47,"['famous', 'beautiful', 'sad', 'rich']",Everybody knows him. He is very _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,famous,famous
47,"['famous', 'beautiful', 'sad', 'rich']",That is a nice dress. You look _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,beautiful,beautiful
47,"['famous', 'beautiful', 'sad', 'rich']",His dog is ill. He is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,sad,sad
47,"['famous', 'beautiful', 'sad', 'rich']",She has lot of money. She is _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,rich,beautiful
48,"['shallow', 'heavy', 'wide', 'silly', 'sharp']",The lake is quite _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,shallow,shallow
48,"['shallow', 'heavy', 'wide', 'silly', 'sharp']",Be careful! The box is very _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,heavy,heavy
48,"['shallow', 'heavy', 'wide', 'silly', 'sharp']",Our street is very _ .,2,pridavna-jmena,pridavna-jmena-2-uroven,wide,wide
48,"['shallow', 'heavy', 'wide', 'silly', 'sharp']",That was a _ joke.,2,pridavna-jmena,pridavna-jmena-2-uroven,silly,silly
48,"['shallow', 'heavy', 'wide', 'silly', 'sharp']",I have a very _ knife.,2,pridavna-jmena,pridavna-jmena-2-uroven,sharp,sharp
54,"['forest', 'farm', 'star', 'river']",Wild animals live in the _ .,2,krajina-svet,krajina-svet-2-uroven,forest,forest
54,"['forest', 'farm', 'star', 'river']",The horse is at the _ .,2,krajina-svet,krajina-svet-2-uroven,farm,farm
54,"['forest', 'farm', 'star', 'river']",Look at this shining _ .,2,krajina-svet,krajina-svet-2-uroven,star,star
54,"['forest', 'farm', 'star', 'river']",We went swimming in the _ .,2,krajina-svet,krajina-svet-2-uroven,river,river
55,"['river', 'beach', 'cave', 'north']",This _ is deepest here.,2,krajina-svet,krajina-svet-2-uroven,river,river
55,"['river', 'beach', 'cave', 'north']",The _ was packed with tourists.,2,krajina-svet,krajina-svet-2-uroven,beach,beach
55,"['river', 'beach', 'cave', 'north']",Tom told me not to go into the _ .,2,krajina-svet,krajina-svet-2-uroven,cave,river
55,"['river', 'beach', 'cave', 'north']",We're heading _ .,2,krajina-svet,krajina-svet-2-uroven,north,north
56,"['valley', 'mountain', 'west', 'coast']",A river flows through the _ .,2,krajina-svet,krajina-svet-2-uroven,valley,valley
56,"['valley', 'mountain', 'west', 'coast']",The _ is covered with snow.,2,krajina-svet,krajina-svet-2-uroven,mountain,mountain
56,"['valley', 'mountain', 'west', 'coast']",The station is to the _ of the hotel.,2,krajina-svet,krajina-svet-2-uroven,west,west
56,"['valley', 'mountain', 'west', 'coast']",The homes on the _ are very expensive.,2,krajina-svet,krajina-svet-2-uroven,coast,coast
57,"['distance', 'hill', 'sea', 'sun']",The moon is not always the same _ away from Earth.,2,krajina-svet,krajina-svet-2-uroven,distance,distance
57,"['distance', 'hill', 'sea', 'sun']",They stood on the top of the _ .,2,krajina-svet,krajina-svet-2-uroven,hill,hill
57,"['distance', 'hill', 'sea', 'sun']",The _ level is rising.,2,krajina-svet,krajina-svet-2-uroven,sea,sea
57,"['distance', 'hill', 'sea', 'sun']",The _ is yellow.,2,krajina-svet,krajina-svet-2-uroven,sun,sea
58,"['sea', 'waterfall', 'island', 'rock']",It's warm today so you can swim in the _ .,2,krajina-svet,krajina-svet-2-uroven,sea,sea
58,"['sea', 'waterfall', 'island', 'rock']",Many tourists come to see the _ .,2,krajina-svet,krajina-svet-2-uroven,waterfall,waterfall
58,"['sea', 'waterfall', 'island', 'rock']",There are many rivers on that _ .,2,krajina-svet,krajina-svet-2-uroven,island,island
58,"['sea', 'waterfall', 'island', 'rock']",They went _ climbing.,2,krajina-svet,krajina-svet-2-uroven,rock,rock
59,"['playground', 'university', 'airport', 'bridge']",Tom started chasing Mary around the _ .,2,mesto,mesto-2-uroven,playground,airport
59,"['playground', 'university', 'airport', 'bridge']",He is studying history at the _ .,2,mesto,mesto-2-uroven,university,university
59,"['playground', 'university', 'airport', 'bridge']",Which _ do I leave from?,2,mesto,mesto-2-uroven,airport,university
59,"['playground', 'university', 'airport', 'bridge']",The ship passed under the _ .,2,mesto,mesto-2-uroven,bridge,bridge
60,"['bridge', 'school', 'cinema', 'bank']",The _ is very long and very tall.,2,mesto,mesto-2-uroven,bridge,bridge
60,"['bridge', 'school', 'cinema', 'bank']",My children are at _ .,2,mesto,mesto-2-uroven,school,school
60,"['bridge', 'school', 'cinema', 'bank']",Tom bought a ticket to the _ for himself.,2,mesto,mesto-2-uroven,cinema,cinema
60,"['bridge', 'school', 'cinema', 'bank']",She works at the _ .,2,mesto,mesto-2-uroven,bank,school
61,"['cinema', 'gym', 'flat', 'library']","When he entered the _ , the film had already begun.",2,mesto,mesto-2-uroven,cinema,cinema
61,"['cinema', 'gym', 'flat', 'library']",Stop playing video games and get to the _ .,2,mesto,mesto-2-uroven,gym,gym
61,"['cinema', 'gym', 'flat', 'library']",Our _ has five rooms.,2,mesto,mesto-2-uroven,flat,library
61,"['cinema', 'gym', 'flat', 'library']",The _ has many books.,2,mesto,mesto-2-uroven,library,library
62,"['library', 'post office', 'tower', 'railway station']",I returned the book to the _ .,2,mesto,mesto-2-uroven,library,library
62,"['library', 'post office', 'tower', 'railway station']",He went to the _ to mail the letter.,2,mesto,mesto-2-uroven,post office,post office
62,"['library', 'post office', 'tower', 'railway station']",The palace has a tall _ .,2,mesto,mesto-2-uroven,tower,tower
62,"['library', 'post office', 'tower', 'railway station']",The train is at the _ .,2,mesto,mesto-2-uroven,railway station,railway station
63,"['square', 'building', 'church', 'roundabout']",The demonstrators gathered in the _ .,2,mesto,mesto-2-uroven,square,square
63,"['square', 'building', 'church', 'roundabout']",It's the highest _ in this city.,2,mesto,mesto-2-uroven,building,building
63,"['square', 'building', 'church', 'roundabout']",I go to the _ on Sundays.,2,mesto,mesto-2-uroven,church,church
63,"['square', 'building', 'church', 'roundabout']",The purpose of a _ is to slow down traffic.,2,mesto,mesto-2-uroven,roundabout,building
64,"['theatre', 'church', 'parking lot', 'market']",The _ usually opened at this time.,2,mesto,mesto-2-uroven,theatre,market
64,"['theatre', 'church', 'parking lot', 'market']",Whoever goes to _ believes in God.,2,mesto,mesto-2-uroven,church,church
64,"['theatre', 'church', 'parking lot', 'market']",Dozens of cars were parked in the _ .,2,mesto,mesto-2-uroven,parking lot,parking lot
64,"['theatre', 'church', 'parking lot', 'market']",I am doing shopping at the _ .,2,mesto,mesto-2-uroven,market,market
65,"['building', 'market', 'bus stop', 'hospital']",There are no restrooms in this _ .,2,mesto,mesto-2-uroven,building,building
65,"['building', 'market', 'bus stop', 'hospital']",She went to the _ to buy fresh vegetables.,2,mesto,mesto-2-uroven,market,market
65,"['building', 'market', 'bus stop', 'hospital']",He got off at the next _ .,2,mesto,mesto-2-uroven,bus stop,bus stop
65,"['building', 'market', 'bus stop', 'hospital']",The doctor works in a _ .,2,mesto,mesto-2-uroven,hospital,hospital
66,"['skirt', 'hat', 'raincoat', 'glasses']",Your blouse goes beautifully with that _ .,2,obleceni,obleceni-2-uroven,skirt,skirt
66,"['skirt', 'hat', 'raincoat', 'glasses']",Tom bought a straw _ .,2,obleceni,obleceni-2-uroven,hat,hat
66,"['skirt', 'hat', 'raincoat', 'glasses']",Take your _ in case it rains.,2,obleceni,obleceni-2-uroven,raincoat,hat
66,"['skirt', 'hat', 'raincoat', 'glasses']",I can't read without _ .,2,obleceni,obleceni-2-uroven,glasses,glasses
