problem,sentence,solutions,fullname,pred,certainty
30,I _ you good luck.,wish,slovesa-zaklad-2-uroven,wish,0.4340517085378784
31,Can you _ the right answer?,guess,slovesa-komunikace-2-uroven,guess,0.2802043045091277
31,I will _ your questions. ,answer,slovesa-komunikace-2-uroven,answer,0.2802043045091277
31,I want the truth! Don't _ to me.,lie,slovesa-komunikace-2-uroven,lie,0.2802043045091277
31,Will you _ me your picture?,show,slovesa-komunikace-2-uroven,show,0.2802043045091277
31,She wants to _ her story with us.,share,slovesa-komunikace-2-uroven,share,0.2802043045091277
32,You have to _ them with a smile.,greet,slovesa-komunikace-2-uroven,greet,0.1532169866505311
32,They _ old furniture.,sell,slovesa-komunikace-2-uroven,sell,0.1532169866505311
32,He will _ me around town.,guide,slovesa-komunikace-2-uroven,guide,0.1532169866505311
32,My parents _ a lot.,argue,slovesa-komunikace-2-uroven,argue,0.1532169866505311
32,I can _ you more money.,offer,slovesa-komunikace-2-uroven,offer,0.1532169866505311
33,Can I _ you later?,call,slovesa-komunikace-2-uroven,call,0.4330018364711478
33,She has to _ to her parents.,listen,slovesa-komunikace-2-uroven,listen,0.4330018364711478
33,Do you _ with what I said?,agree,slovesa-komunikace-2-uroven,agree,0.4330018364711478
33,I _ your kindness.,appreciate,slovesa-komunikace-2-uroven,appreciate,0.4330018364711478
33,Would you like to _ on this?,comment,slovesa-komunikace-2-uroven,comment,0.4330018364711478
34,Do you want to _ around the pond?,skate,pohybova-slovesa-2-uroven,skate,0.09521907346711382
34,It's too cold to _ in the ocean.,swim,pohybova-slovesa-2-uroven,swim,0.09521907346711382
34,She can _ on the couch.,sit,pohybova-slovesa-2-uroven,sit,0.09521907346711382
34,Did you _ for the lost keys?,search,pohybova-slovesa-2-uroven,search,0.09521907346711382
34,He wants to _ Mt Everest.,climb,pohybova-slovesa-2-uroven,climb,0.09521907346711382
35,Go ahead and _ the ball. ,kick,pohybova-slovesa-3-uroven,kick,0.12137128175786227
35,We can _ around to feel warm.,move,pohybova-slovesa-3-uroven,move,0.12137128175786227
35,"If you know the answer, _ your hand.",raise,pohybova-slovesa-3-uroven,raise,0.12137128175786227
35,You should _ up the trash.,pick,pohybova-slovesa-3-uroven,pick,0.12137128175786227
35,Do you want to _ to the music with him?,dance,pohybova-slovesa-3-uroven,dance,0.12137128175786227
36,They would _ there by plane.,fly,pohybova-slovesa-2-uroven,fly,0.1432743843825277
36,How fast can you _ a mile?,run,pohybova-slovesa-2-uroven,run,0.1432743843825277
36,I will _ a deep hole here.,dig,pohybova-slovesa-2-uroven,dig,0.1432743843825277
36,"Can you _ around and not look, please?",turn,pohybova-slovesa-2-uroven,turn,0.1432743843825277
36,He can _ the boxes for you.,carry,pohybova-slovesa-2-uroven,carry,0.1432743843825277
37,You can _ here and watch.,stand,pohybova-slovesa-2-uroven,stand,0.1682664041337163
37,"Please, _ me the ball.",throw,pohybova-slovesa-2-uroven,throw,0.1682664041337163
37,She can _ a horse.,ride,pohybova-slovesa-2-uroven,ride,0.1682664041337163
37,"You will _ down, if you are not careful.",fall,pohybova-slovesa-2-uroven,fall,0.1682664041337163
37,Will you _ my hand?,hold,pohybova-slovesa-2-uroven,hold,0.1682664041337163
38,I can _ for a better price.,bargain,slovesa-komunikace-2-uroven,bargain,0.212882865468487
38,She wants to _ to you.,speak,slovesa-komunikace-2-uroven,speak,0.212882865468487
38,They will _ the flight for us.,book,slovesa-komunikace-2-uroven,book,0.212882865468487
38,"Please, _ me inside.",follow,slovesa-komunikace-2-uroven,follow,0.212882865468487
38,How do you _ your name?,spell,slovesa-komunikace-2-uroven,spell,0.212882865468487
39,Does she _ singing?,enjoy,slovesa-zaklad-3-uroven,enjoy,0.16799205889337915
39,I _ my keys a lot.,forget,slovesa-zaklad-3-uroven,forget,0.16799205889337915
39,Do you _ around here?,live,slovesa-zaklad-3-uroven,live,0.16799205889337915
39,They _ the way to the city.,know,slovesa-zaklad-3-uroven,know,0.16799205889337915
39,He can _ to five now.,count,slovesa-zaklad-3-uroven,count,0.16799205889337915
40,Do you miss your _ ?,wife,rodina-lide-2-uroven,wife,0.14028534016032598
40,Tom offered to help his _ .,neighbour,rodina-lide-2-uroven,neighbour,0.14028534016032598
40,I want to join your _ .,group,rodina-lide-2-uroven,group,0.14028534016032598
40,Can you guess my _ ?,age,rodina-lide-2-uroven,age,0.14028534016032598
41,Put it on the _ .,table,dum-casti-domu-2-uroven,table,0.20111369756952252
41,Tom backed his car out of the _ .,garage,dum-casti-domu-2-uroven,garage,0.20111369756952252
41,The room is at the end of the _ .,hall,dum-casti-domu-2-uroven,hall,0.20111369756952252
41,This _ can seat three people easily.,sofa,dum-casti-domu-2-uroven,sofa,0.20111369756952252
42,Small children are very _ .,curious,pridavna-jmena-2-uroven,curious,0.21822020356840388
42,One of the answers is _ .,correct,pridavna-jmena-2-uroven,correct,0.21822020356840388
42,The window is _ .,open,pridavna-jmena-2-uroven,open,0.21822020356840388
42,The radio is a bit _ .,loud,pridavna-jmena-2-uroven,loud,0.21822020356840388
43,Petrol is no longer a _ fuel.,cheap,pridavna-jmena-2-uroven,cheap,0.1601343669379897
43,You are very _ .,beautiful,pridavna-jmena-2-uroven,beautiful,0.1601343669379897
43,"My bath towel was _ , so it was of no use.",wet,pridavna-jmena-2-uroven,wet,0.1601343669379897
43,The wind is _ today.,cold,pridavna-jmena-2-uroven,cold,0.1601343669379897
44,He is a very _ swimmer.,fast,pridavna-jmena-2-uroven,fast,0.5155418816883625
44,Winter is my _ season.,favourite,pridavna-jmena-2-uroven,favourite,0.5155418816883625
44,Is the snake alive or _ ?,dead,pridavna-jmena-2-uroven,dead,0.5155418816883625
44,The bread is _ .,fresh,pridavna-jmena-2-uroven,fresh,0.5155418816883625
45,He used to be a _ man.,quiet,pridavna-jmena-2-uroven,quiet,0.29618082323156636
45,My _ colour is red.,favourite,pridavna-jmena-2-uroven,favourite,0.29618082323156636
45,Water is _ .,transparent,pridavna-jmena-2-uroven,transparent,0.29618082323156636
45,A cow is a _ animal.,useful,pridavna-jmena-2-uroven,useful,0.29618082323156636
46,Iron is more _ than gold.,useful,pridavna-jmena-2-uroven,useful,0.1493466329822312
46,Are my socks _ already?,dry,pridavna-jmena-2-uroven,dry,0.1493466329822312
46,My fingertips are _ .,frozen,pridavna-jmena-2-uroven,frozen,0.1493466329822312
46,The day was _ .,hot,pridavna-jmena-2-uroven,hot,0.1493466329822312
47,Everybody knows him. He is very _ .,famous,pridavna-jmena-2-uroven,famous,0.14646996634954657
47,That is a nice dress. You look _ .,beautiful,pridavna-jmena-2-uroven,beautiful,0.14646996634954657
47,His dog is ill. He is _ .,sad,pridavna-jmena-2-uroven,sad,0.14646996634954657
47,She has lot of money. She is _ .,rich,pridavna-jmena-2-uroven,rich,0.14646996634954657
48,The lake is quite _ .,shallow,pridavna-jmena-2-uroven,shallow,0.09343689923611499
48,Be careful! The box is very _ .,heavy,pridavna-jmena-2-uroven,heavy,0.09343689923611499
48,Our street is very _ .,wide,pridavna-jmena-2-uroven,wide,0.09343689923611499
48,That was a _ joke.,silly,pridavna-jmena-2-uroven,silly,0.09343689923611499
48,I have a very _ knife.,sharp,pridavna-jmena-2-uroven,sharp,0.09343689923611499
54,Wild animals live in the _ .,forest,krajina-svet-2-uroven,forest,0.25657977537123217
54,The horse is at the _ .,farm,krajina-svet-2-uroven,farm,0.25657977537123217
54,Look at this shining _ .,star,krajina-svet-2-uroven,star,0.25657977537123217
54,We went swimming in the _ .,river,krajina-svet-2-uroven,river,0.25657977537123217
55,This _ is deepest here.,river,krajina-svet-2-uroven,river,0.19342515532600507
55,The _ was packed with tourists.,beach,krajina-svet-2-uroven,beach,0.19342515532600507
55,Tom told me not to go into the _ .,cave,krajina-svet-2-uroven,cave,0.19342515532600507
55,We're heading _ .,north,krajina-svet-2-uroven,north,0.19342515532600507
56,A river flows through the _ .,valley,krajina-svet-2-uroven,valley,0.15017050478561725
56,The _ is covered with snow.,mountain,krajina-svet-2-uroven,mountain,0.15017050478561725
56,The station is to the _ of the hotel.,west,krajina-svet-2-uroven,west,0.15017050478561725
56,The homes on the _ are very expensive.,coast,krajina-svet-2-uroven,coast,0.15017050478561725
57,The moon is not always the same _ away from Earth.,distance,krajina-svet-2-uroven,distance,0.298806053525566
57,They stood on the top of the _ .,hill,krajina-svet-2-uroven,hill,0.298806053525566
57,The _ level is rising.,sea,krajina-svet-2-uroven,sea,0.298806053525566
57,The _ is yellow.,sun,krajina-svet-2-uroven,sun,0.298806053525566
58,It's warm today so you can swim in the _ .,sea,krajina-svet-2-uroven,sea,0.15564469989966942
58,Many tourists come to see the _ .,waterfall,krajina-svet-2-uroven,waterfall,0.15564469989966942
58,There are many rivers on that _ .,island,krajina-svet-2-uroven,island,0.15564469989966942
58,They went _ climbing.,rock,krajina-svet-2-uroven,rock,0.15564469989966942
59,Tom started chasing Mary around the _ .,playground,mesto-2-uroven,playground,0.20805023149344662
59,He is studying history at the _ .,university,mesto-2-uroven,university,0.20805023149344662
59,Which _ do I leave from?,airport,mesto-2-uroven,airport,0.20805023149344662
59,The ship passed under the _ .,bridge,mesto-2-uroven,bridge,0.20805023149344662
60,The _ is very long and very tall.,bridge,mesto-2-uroven,bridge,0.20296379768147293
60,My children are at _ .,school,mesto-2-uroven,school,0.20296379768147293
60,Tom bought a ticket to the _ for himself.,cinema,mesto-2-uroven,cinema,0.20296379768147293
60,She works at the _ .,bank,mesto-2-uroven,bank,0.20296379768147293
61,"When he entered the _ , the film had already begun.",cinema,mesto-2-uroven,cinema,0.25940624672899953
61,Stop playing video games and get to the _ .,gym,mesto-2-uroven,gym,0.25940624672899953
61,Our _ has five rooms.,flat,mesto-2-uroven,flat,0.25940624672899953
61,The _ has many books.,library,mesto-2-uroven,library,0.25940624672899953
62,I returned the book to the _ .,library,mesto-2-uroven,library,0.301568603830131
62,He went to the _ to mail the letter.,post office,mesto-2-uroven,post office,0.301568603830131
62,The palace has a tall _ .,tower,mesto-2-uroven,tower,0.301568603830131
62,The train is at the _ .,railway station,mesto-2-uroven,railway station,0.301568603830131
63,The demonstrators gathered in the _ .,square,mesto-2-uroven,square,0.19830161451802317
63,It's the highest _ in this city.,building,mesto-2-uroven,building,0.19830161451802317
63,I go to the _ on Sundays.,church,mesto-2-uroven,church,0.19830161451802317
63,The purpose of a _ is to slow down traffic.,roundabout,mesto-2-uroven,roundabout,0.19830161451802317
64,The _ usually opened at this time.,theatre,mesto-2-uroven,theatre,0.2124924110618686
64,Whoever goes to _ believes in God.,church,mesto-2-uroven,church,0.2124924110618686
64,Dozens of cars were parked in the _ .,parking lot,mesto-2-uroven,parking lot,0.2124924110618686
64,I am doing shopping at the _ .,market,mesto-2-uroven,market,0.2124924110618686
65,There are no restrooms in this _ .,building,mesto-2-uroven,building,0.3395590513194656
65,She went to the _ to buy fresh vegetables.,market,mesto-2-uroven,market,0.3395590513194656
65,He got off at the next _ .,bus stop,mesto-2-uroven,bus stop,0.3395590513194656
65,The doctor works in a _ .,hospital,mesto-2-uroven,hospital,0.3395590513194656
66,Your blouse goes beautifully with that _ .,skirt,obleceni-2-uroven,skirt,0.31754339695344674
66,Tom bought a straw _ .,hat,obleceni-2-uroven,hat,0.31754339695344674
66,Take your _ in case it rains.,raincoat,obleceni-2-uroven,raincoat,0.31754339695344674
66,I can't read without _ .,glasses,obleceni-2-uroven,glasses,0.31754339695344674
67,He cannot see anything without his _ .,glasses,obleceni-2-uroven,glasses,0.2983736812836921
67,Franco has blue _ .,jeans,obleceni-2-uroven,jeans,0.2983736812836921
67,Tom put his keys in his _ .,pocket,obleceni-2-uroven,pocket,0.2983736812836921
67,She has a _ around her neck.,scarf,obleceni-2-uroven,scarf,0.2983736812836921
68,What do you have in your _ ?,pocket,obleceni-2-uroven,pocket,0.2094662956480044
68,Will you knit a _ for me?,sweater,obleceni-2-uroven,sweater,0.2094662956480044
68,Do you prefer buying clothes with or without a _ ?,hood,obleceni-2-uroven,hood,0.2094662956480044
68,Mary wears a sports _ for exercise.,bra,obleceni-2-uroven,bra,0.2094662956480044
69,Fasten your seat _ .,belt,obleceni-2-uroven,belt,0.4665102551693555
69,My _ is grey.,suit,obleceni-2-uroven,suit,0.4665102551693555
69,Tom took his clothes off and put the _ on.,pyjamas,obleceni-2-uroven,pyjamas,0.4665102551693555
69,My _ are wet.,underpants,obleceni-2-uroven,underpants,0.4665102551693555
70,All the students were wearing black _ .,T-shirts,obleceni-2-uroven,T-shirts,0.12300835691796735
70,He held her by the _ .,sleeve,obleceni-2-uroven,sleeve,0.12300835691796735
70,There is a hole in his _ .,sock,obleceni-2-uroven,sock,0.12300835691796735
70,Do I need a _ ?,tie,obleceni-2-uroven,tie,0.12300835691796735
71,It looks like a fish _ got stuck in my throat.,bone,casti-tela-2-uroven,bone,0.2785144716498522
71,Humans have very large _ .,brains,casti-tela-2-uroven,brains,0.2785144716498522
71,Tom apologized for stepping on my _ .,foot,casti-tela-2-uroven,foot,0.2785144716498522
71,The human _ consists of 23 bones.,skull,casti-tela-2-uroven,skull,0.2785144716498522
72,Keep your _ out of my business.,nose,casti-tela-2-uroven,nose,0.17119169378532786
72,Tom is biting his _ .,nails,casti-tela-2-uroven,nails,0.17119169378532786
72,I bit my _ .,lip,casti-tela-2-uroven,lip,0.17119169378532786
72,He ran his _ through her hair.,fingers,casti-tela-2-uroven,fingers,0.17119169378532786
73,She never paints her _ red.,lips,casti-tela-2-uroven,lips,0.2466021044693702
73,The back of my _ hurts.,neck,casti-tela-2-uroven,neck,0.2466021044693702
73,Mary has blue _ .,eyes,casti-tela-2-uroven,eyes,0.2466021044693702
73,I have tennis _ .,elbow,casti-tela-2-uroven,elbow,0.2466021044693702
74,I kissed her on her _ .,forehead,casti-tela-2-uroven,forehead,0.37309435490489873
74,You should not drink on an empty _ .,stomach,casti-tela-2-uroven,stomach,0.37309435490489873
74,Her _ is as white as snow.,skin,casti-tela-2-uroven,skin,0.37309435490489873
74,Tom hurt his _ .,knee,casti-tela-2-uroven,knee,0.37309435490489873
75,Wash your _ and hands.,face,casti-tela-2-uroven,face,0.5197003341438056
75,I had a _ pulled.,tooth,casti-tela-2-uroven,tooth,0.5197003341438056
75,Mary had her _ read.,palm,casti-tela-2-uroven,palm,0.5197003341438056
75,Alcohol damages the _ .,liver,casti-tela-2-uroven,liver,0.5197003341438056
76,How do you _ that in German?,say,slovesa-komunikace-2-uroven,say,0.3775771738432449
76,You should _ the weather before you go out.,check,slovesa-komunikace-2-uroven,check,0.3775771738432449
76,I _ your help.,appreciate,slovesa-komunikace-2-uroven,appreciate,0.3775771738432449
76,He doesn't have a job. He needs to _ for money.,beg,slovesa-komunikace-2-uroven,beg,0.3775771738432449
77,Can she _ this book? ,borrow,slovesa-komunikace-2-uroven,borrow,0.3107416446083753
77,I would like to _ that we are coming. ,confirm,slovesa-komunikace-2-uroven,confirm,0.3107416446083753
77,They _ with you. ,disagree,slovesa-komunikace-2-uroven,disagree,0.3107416446083753
77,You should _ these cards into two groups.,divide,slovesa-komunikace-2-uroven,divide,0.3107416446083753
78,Will you _ us for dinner tonight?,join,slovesa-komunikace-2-uroven,join,0.635090303589789
78,Did you _ when he fell?,notice,slovesa-komunikace-2-uroven,notice,0.635090303589789
78,Visitors have to _ a permit.,obtain,slovesa-komunikace-2-uroven,obtain,0.635090303589789
78,Let's _ we are rich!,pretend,slovesa-komunikace-2-uroven,pretend,0.635090303589789
79,You should _ the package in three days.,receive,slovesa-komunikace-2-uroven,receive,0.47774612667516586
79,She shouldn't _ at strangers.,shout,slovesa-komunikace-2-uroven,shout,0.47774612667516586
79,The doctor will _ their wounds.,examine,slovesa-komunikace-2-uroven,examine,0.47774612667516586
79,How do you _ his behaviour?,interpret,slovesa-komunikace-2-uroven,interpret,0.47774612667516586
80,If you're happy and you know it _ your hands!,clap,pohybova-slovesa-2-uroven,clap,0.06306038544576792
80,It's not far. We can _ there.,walk,pohybova-slovesa-2-uroven,walk,0.06306038544576792
80,They can't _ on the bed.,jump,pohybova-slovesa-2-uroven,jump,0.06306038544576792
80,You should definitely _ tomorrow!,come,pohybova-slovesa-2-uroven,come,0.06306038544576792
80,Be careful not to _ the glass.,drop,pohybova-slovesa-2-uroven,drop,0.06306038544576792
81,When did you _ here?,arrive,pohybova-slovesa-3-uroven,arrive,0.17927286285686198
81,Don't _ over the railing.,bend,pohybova-slovesa-3-uroven,bend,0.17927286285686198
81,"They like to _ down the street, playing soldiers.",march,pohybova-slovesa-3-uroven,march,0.17927286285686198
81,Sometimes I _ him on the street.,pass,pohybova-slovesa-3-uroven,pass,0.17927286285686198
81,Your temperature shouldn't _ anymore.,rise,pohybova-slovesa-3-uroven,rise,0.17927286285686198
82,"If you are careful, you can _ right past them.",slip,pohybova-slovesa-3-uroven,slip,0.16035619713084417
82,Monkeys like to _ on the trees.,swing,pohybova-slovesa-3-uroven,swing,0.16035619713084417
82,"Please, _ me alone for a moment.",leave,pohybova-slovesa-3-uroven,leave,0.16035619713084417
82,Don't _ me with those dirty hands!,touch,pohybova-slovesa-3-uroven,touch,0.16035619713084417
82,I prefer not to _ myself to anything.,bind,pohybova-slovesa-3-uroven,bind,0.16035619713084417
83,We will _ the animals back into the wild.,release,pohybova-slovesa-3-uroven,release,0.08815087776446687
83,They should _ at some point.,appear,pohybova-slovesa-3-uroven,appear,0.08815087776446687
83,"If it falls into the water, it's going to _ .",sink,pohybova-slovesa-3-uroven,sink,0.08815087776446687
83,We should make up and _ .,embrace,pohybova-slovesa-3-uroven,embrace,0.08815087776446687
83,She has to _ the laundry first.,sort,pohybova-slovesa-3-uroven,sort,0.08815087776446687
84,We need to _ the costs.,cut down,frazova-slovesa-2-uroven,cut down,0.17555693402473968
84,I will _ the problem.,look into,frazova-slovesa-2-uroven,look into,0.17555693402473968
84,You can not _ to the pressure.,give in,frazova-slovesa-2-uroven,give in,0.17555693402473968
84,She wants to _ .,go away,frazova-slovesa-2-uroven,go away,0.17555693402473968
85,You should _ something warm.,put on,frazova-slovesa-2-uroven,put on,0.3973295052916587
85,I think the car is going to _ soon.,break down,frazova-slovesa-2-uroven,break down,0.3973295052916587
85,They need to _ of the house.,move out,frazova-slovesa-2-uroven,move out,0.3973295052916587
85,The prisoners should be _ .,set free,frazova-slovesa-2-uroven,set free,0.3973295052916587
86,You can’t _ on your colleagues.,look down,frazova-slovesa-2-uroven,hang up,0.2548759286060713
86,"Please, _ with your exercise.",go on,frazova-slovesa-2-uroven,go on,0.2548759286060713
86,She will _ on me. ,hang up,frazova-slovesa-2-uroven,look down,0.2548759286060713
86,We will soon _ of potatoes. ,run out,frazova-slovesa-2-uroven,run out,0.2548759286060713
87,She should _ with him.,break up,frazova-slovesa-2-uroven,break up,0.16005193515430552
87,He will _ the files.,look through,frazova-slovesa-2-uroven,look through,0.16005193515430552
87,They don’t _ very well.,get on,frazova-slovesa-2-uroven,get on,0.16005193515430552
87,Don’t _ calling him. ,put off,frazova-slovesa-2-uroven,put off,0.16005193515430552
88,I will _ the page you sent me. ,check out,frazova-slovesa-2-uroven,check out,0.1527145296630466
88,The children will _ faster than you think.,grow up,frazova-slovesa-2-uroven,grow up,0.1527145296630466
88,Let’s _ for now.,split up,frazova-slovesa-2-uroven,split up,0.1527145296630466
88,He needs to _ more if he wants to be in shape.,work out,frazova-slovesa-2-uroven,work out,0.1527145296630466
89,You shouldn’t _ people who are speaking.,cut off,frazova-slovesa-2-uroven,cut off,0.21650057157685615
89,She wants her dreams to _ . ,come true,frazova-slovesa-2-uroven,come true,0.21650057157685615
89,They are going to _ together next month.,move in,frazova-slovesa-2-uroven,move in,0.21650057157685615
89,I want to _ on an adventure. ,set out,frazova-slovesa-2-uroven,set out,0.21650057157685615
90,He didn’t _ yesterday.,show up,frazova-slovesa-2-uroven,show up,0.30028531038274975
90,I hope it don’t _ as rude.,come across,frazova-slovesa-2-uroven,come across,0.30028531038274975
90,Will you _ my cat?,look after,frazova-slovesa-2-uroven,look after,0.30028531038274975
90,She _ for a raise.,put in,frazova-slovesa-2-uroven,put in,0.30028531038274975
91,It shouldn’t _ the whole population.,cut across,frazova-slovesa-2-uroven,cut across,0.15656640991370765
91,Don’t forget to _ his number.,put down,frazova-slovesa-2-uroven,put down,0.15656640991370765
91,The handle will _ if you force it.,come off,frazova-slovesa-2-uroven,come off,0.15656640991370765
91,You can _ it in some book.,look for,frazova-slovesa-2-uroven,look for,0.15656640991370765
93,Our _ sleeps all day.,cat,zvirata-mix-2-uroven,cat,0.18574896877926497
93,We keep _ for wool and milk.,sheep,zvirata-mix-2-uroven,sheep,0.18574896877926497
93,You can ride a _ or use it for work.,horse,zvirata-mix-2-uroven,horse,0.18574896877926497
93,The feather is from that _ .,chicken,zvirata-mix-2-uroven,chicken,0.18574896877926497
94,You can give the carrot to the _ .,rabbit,zvirata-mix-1-uroven,donkey,0.0883577700984221
94,There is a _ on the pond.,duck,zvirata-mix-1-uroven,duck,0.0883577700984221
94,The milk comes from this _ .,cow,zvirata-mix-1-uroven,cow,0.0883577700984221
94,It’s better to use _ for work than for riding. ,donkey,zvirata-mix-1-uroven,rabbit,0.0883577700984221
95,A _ lays eggs.,hen,zvirata-mix-2-uroven,hen,0.1623796874068189
95,We have a lots of hens but only one _ .,cock,zvirata-mix-2-uroven,cock,0.1623796874068189
95,A baby dog is called _ . ,puppy,zvirata-mix-2-uroven,puppy,0.1623796874068189
