problem,sentence,solutions,fullname,pred
20,Mary comes from a good _ .,family,rodina-lide-3-uroven,family
20,Do you remember your _ ?,grandfather,rodina-lide-3-uroven,grandfather
20,How is your _ pronounced?,surname,rodina-lide-3-uroven,surname
21,My older _ is a teacher.,brother,rodina-lide-2-uroven,brother
21,Many _ were there.,people,rodina-lide-2-uroven,people
21,Write your _ .,name,rodina-lide-2-uroven,name
21,He is a childhood _ .,friend,rodina-lide-2-uroven,friend
22,What does your _ do?,father,rodina-lide-2-uroven,father
22,He married a rich _ .,girl,rodina-lide-2-uroven,girl
22,Tom was my first _ .,boyfriend,rodina-lide-2-uroven,boyfriend
22,"Yes, I have a _ .",daughter,rodina-lide-2-uroven,daughter
23,Can I _ in this bed? ,sleep,slovesa-zaklad-1-uroven,sleep
23,I would like to _ mineral water.,drink,slovesa-zaklad-1-uroven,drink
23,I like to _ fantasy books.,read,slovesa-zaklad-1-uroven,read
23,"Please, can you _ the window?",close,slovesa-zaklad-1-uroven,close
24,We are going to _ a wall.,build,slovesa-zaklad-2-uroven,build
24,I _ a letter.,write,slovesa-zaklad-2-uroven,write
24,Do you _ us?,remember,slovesa-zaklad-2-uroven,remember
24,The bells started to _ .,ring,slovesa-zaklad-2-uroven,ring
24,He made her _ .,cry,slovesa-zaklad-2-uroven,cry
25,I want to _ a song.,sing,slovesa-zaklad-3-uroven,sing
25,You should _ him.,thank,slovesa-zaklad-3-uroven,thank
25,My son still cannot _ .,count,slovesa-zaklad-3-uroven,count
25,I'll never _ you.,forget,slovesa-zaklad-3-uroven,forget
26,Do you _ alcohol?,drink,slovesa-zaklad-2-uroven,drink
26,Cows _ grass.,eat,slovesa-zaklad-2-uroven,eat
26,I _ my hands.,wash,slovesa-zaklad-2-uroven,wash
26,Do you _ ?,smoke,slovesa-zaklad-2-uroven,smoke
27,I _ Tom's company.,enjoy,slovesa-zaklad-2-uroven,enjoy
27,I used to _ of him.,dream,slovesa-zaklad-2-uroven,dream
27,I _ up early.,wake,slovesa-zaklad-2-uroven,wake
28,"Will you _ the door, please?",open,slovesa-zaklad-1-uroven,open
28,Can I _ you a question?,ask,slovesa-zaklad-1-uroven,ask
28,She will _ the pizza.,eat,slovesa-zaklad-1-uroven,eat
28,Do you want to _  a picture for me?,paint,slovesa-zaklad-1-uroven,paint
28,We will _ to Africa.,travel,slovesa-zaklad-1-uroven,travel
29,I am tired. I should go to _ .,sleep,slovesa-zaklad-2-uroven,sleep
29,What can you _ on the picture?,see,slovesa-zaklad-2-uroven,see
29,They _ a new car.,want,slovesa-zaklad-2-uroven,want
29,She will _ me a letter.,send,slovesa-zaklad-2-uroven,send
29,"Please, _ for five minutes.",wait,slovesa-zaklad-2-uroven,wait
30,Do you _ any help?,need,slovesa-zaklad-2-uroven,need
30,We _ together.,work,slovesa-zaklad-2-uroven,work
30,I can _ the bag.,take,slovesa-zaklad-2-uroven,take
30,You _ help me.,must,slovesa-zaklad-2-uroven,must
30,I _ you good luck.,wish,slovesa-zaklad-2-uroven,wish
31,Can you _ the right answer?,guess,slovesa-komunikace-2-uroven,guess
31,I will _ your questions. ,answer,slovesa-komunikace-2-uroven,answer
31,I want the truth! Don't _ to me.,lie,slovesa-komunikace-2-uroven,lie
31,Will you _ me your picture?,show,slovesa-komunikace-2-uroven,show
31,She wants to _ her story with us.,share,slovesa-komunikace-2-uroven,share
32,You have to _ them with a smile.,greet,slovesa-komunikace-2-uroven,greet
32,They _ old furniture.,sell,slovesa-komunikace-2-uroven,sell
32,He will _ me around town.,guide,slovesa-komunikace-2-uroven,guide
32,My parents _ a lot.,argue,slovesa-komunikace-2-uroven,argue
32,I can _ you more money.,offer,slovesa-komunikace-2-uroven,offer
33,Can I _ you later?,call,slovesa-komunikace-2-uroven,call
33,She has to _ to her parents.,listen,slovesa-komunikace-2-uroven,listen
33,Do you _ with what I said?,agree,slovesa-komunikace-2-uroven,agree
33,I _ your kindness.,appreciate,slovesa-komunikace-2-uroven,appreciate
33,Would you like to _ on this?,comment,slovesa-komunikace-2-uroven,comment
34,Do you want to _ around the pond?,skate,pohybova-slovesa-2-uroven,swim
34,It's too cold to _ in the ocean.,swim,pohybova-slovesa-2-uroven,skate
34,She can _ on the couch.,sit,pohybova-slovesa-2-uroven,sit
34,Did you _ for the lost keys?,search,pohybova-slovesa-2-uroven,search
34,He wants to _ Mt Everest.,climb,pohybova-slovesa-2-uroven,climb
35,Go ahead and _ the ball. ,kick,pohybova-slovesa-3-uroven,kick
35,We can _ around to feel warm.,move,pohybova-slovesa-3-uroven,move
35,"If you know the answer, _ your hand.",raise,pohybova-slovesa-3-uroven,raise
35,You should _ up the trash.,pick,pohybova-slovesa-3-uroven,pick
35,Do you want to _ to the music with him?,dance,pohybova-slovesa-3-uroven,dance
36,They would _ there by plane.,fly,pohybova-slovesa-2-uroven,fly
36,How fast can you _ a mile?,run,pohybova-slovesa-2-uroven,run
36,I will _ a deep hole here.,dig,pohybova-slovesa-2-uroven,dig
36,"Can you _ around and not look, please?",turn,pohybova-slovesa-2-uroven,turn
36,He can _ the boxes for you.,carry,pohybova-slovesa-2-uroven,carry
37,You can _ here and watch.,stand,pohybova-slovesa-2-uroven,stand
37,"Please, _ me the ball.",throw,pohybova-slovesa-2-uroven,throw
37,She can _ a horse.,ride,pohybova-slovesa-2-uroven,ride
37,"You will _ down, if you are not careful.",fall,pohybova-slovesa-2-uroven,fall
37,Will you _ my hand?,hold,pohybova-slovesa-2-uroven,hold
38,I can _ for a better price.,bargain,slovesa-komunikace-2-uroven,bargain
38,She wants to _ to you.,speak,slovesa-komunikace-2-uroven,speak
38,They will _ the flight for us.,book,slovesa-komunikace-2-uroven,book
38,"Please, _ me inside.",follow,slovesa-komunikace-2-uroven,follow
38,How do you _ your name?,spell,slovesa-komunikace-2-uroven,spell
39,Does she _ singing?,enjoy,slovesa-zaklad-3-uroven,enjoy
39,I _ my keys a lot.,forget,slovesa-zaklad-3-uroven,forget
39,Do you _ around here?,live,slovesa-zaklad-3-uroven,live
39,They _ the way to the city.,know,slovesa-zaklad-3-uroven,know
39,He can _ to five now.,count,slovesa-zaklad-3-uroven,count
40,Do you miss your _ ?,wife,rodina-lide-2-uroven,wife
40,Tom offered to help his _ .,neighbour,rodina-lide-2-uroven,neighbour
40,I want to join your _ .,group,rodina-lide-2-uroven,group
40,Can you guess my _ ?,age,rodina-lide-2-uroven,age
41,Put it on the _ .,table,dum-casti-domu-2-uroven,table
41,Tom backed his car out of the _ .,garage,dum-casti-domu-2-uroven,garage
41,The room is at the end of the _ .,hall,dum-casti-domu-2-uroven,hall
41,This _ can seat three people easily.,sofa,dum-casti-domu-2-uroven,sofa
42,Small children are very _ .,curious,pridavna-jmena-2-uroven,curious
42,One of the answers is _ .,correct,pridavna-jmena-2-uroven,correct
42,The window is _ .,open,pridavna-jmena-2-uroven,open
42,The radio is a bit _ .,loud,pridavna-jmena-2-uroven,loud
43,Petrol is no longer a _ fuel.,cheap,pridavna-jmena-2-uroven,cheap
43,You are very _ .,beautiful,pridavna-jmena-2-uroven,beautiful
43,"My bath towel was _ , so it was of no use.",wet,pridavna-jmena-2-uroven,wet
43,The wind is _ today.,cold,pridavna-jmena-2-uroven,cold
44,He is a very _ swimmer.,fast,pridavna-jmena-2-uroven,fast
44,Winter is my _ season.,favourite,pridavna-jmena-2-uroven,favourite
44,Is the snake alive or _ ?,dead,pridavna-jmena-2-uroven,dead
44,The bread is _ .,fresh,pridavna-jmena-2-uroven,fresh
45,He used to be a _ man.,quiet,pridavna-jmena-2-uroven,quiet
45,My _ colour is red.,favourite,pridavna-jmena-2-uroven,favourite
45,Water is _ .,transparent,pridavna-jmena-2-uroven,transparent
45,A cow is a _ animal.,useful,pridavna-jmena-2-uroven,useful
46,Iron is more _ than gold.,useful,pridavna-jmena-2-uroven,useful
46,Are my socks _ already?,dry,pridavna-jmena-2-uroven,dry
46,My fingertips are _ .,frozen,pridavna-jmena-2-uroven,frozen
46,The day was _ .,hot,pridavna-jmena-2-uroven,hot
47,Everybody knows him. He is very _ .,famous,pridavna-jmena-2-uroven,rich
47,That is a nice dress. You look _ .,beautiful,pridavna-jmena-2-uroven,beautiful
47,His dog is ill. He is _ .,sad,pridavna-jmena-2-uroven,sad
47,She has lot of money. She is _ .,rich,pridavna-jmena-2-uroven,famous
48,The lake is quite _ .,shallow,pridavna-jmena-2-uroven,shallow
48,Be careful! The box is very _ .,heavy,pridavna-jmena-2-uroven,heavy
48,Our street is very _ .,wide,pridavna-jmena-2-uroven,wide
48,That was a _ joke.,silly,pridavna-jmena-2-uroven,silly
48,I have a very _ knife.,sharp,pridavna-jmena-2-uroven,sharp
54,Wild animals live in the _ .,forest,krajina-svet-2-uroven,forest
54,The horse is at the _ .,farm,krajina-svet-2-uroven,farm
54,Look at this shining _ .,star,krajina-svet-2-uroven,star
54,We went swimming in the _ .,river,krajina-svet-2-uroven,river
55,This _ is deepest here.,river,krajina-svet-2-uroven,river
55,The _ was packed with tourists.,beach,krajina-svet-2-uroven,beach
55,Tom told me not to go into the _ .,cave,krajina-svet-2-uroven,cave
55,We're heading _ .,north,krajina-svet-2-uroven,north
56,A river flows through the _ .,valley,krajina-svet-2-uroven,valley
56,The _ is covered with snow.,mountain,krajina-svet-2-uroven,mountain
56,The station is to the _ of the hotel.,west,krajina-svet-2-uroven,west
56,The homes on the _ are very expensive.,coast,krajina-svet-2-uroven,coast
57,The moon is not always the same _ away from Earth.,distance,krajina-svet-2-uroven,distance
57,They stood on the top of the _ .,hill,krajina-svet-2-uroven,hill
57,The _ level is rising.,sea,krajina-svet-2-uroven,sea
57,The _ is yellow.,sun,krajina-svet-2-uroven,sun
58,It's warm today so you can swim in the _ .,sea,krajina-svet-2-uroven,sea
58,Many tourists come to see the _ .,waterfall,krajina-svet-2-uroven,waterfall
58,There are many rivers on that _ .,island,krajina-svet-2-uroven,island
58,They went _ climbing.,rock,krajina-svet-2-uroven,rock
59,Tom started chasing Mary around the _ .,playground,mesto-2-uroven,playground
59,He is studying history at the _ .,university,mesto-2-uroven,university
59,Which _ do I leave from?,airport,mesto-2-uroven,airport
59,The ship passed under the _ .,bridge,mesto-2-uroven,bridge
60,The _ is very long and very tall.,bridge,mesto-2-uroven,bridge
60,My children are at _ .,school,mesto-2-uroven,school
60,Tom bought a ticket to the _ for himself.,cinema,mesto-2-uroven,cinema
60,She works at the _ .,bank,mesto-2-uroven,bank
61,"When he entered the _ , the film had already begun.",cinema,mesto-2-uroven,cinema
61,Stop playing video games and get to the _ .,gym,mesto-2-uroven,gym
61,Our _ has five rooms.,flat,mesto-2-uroven,flat
61,The _ has many books.,library,mesto-2-uroven,library
62,I returned the book to the _ .,library,mesto-2-uroven,library
62,He went to the _ to mail the letter.,post office,mesto-2-uroven,post office
62,The palace has a tall _ .,tower,mesto-2-uroven,tower
62,The train is at the _ .,railway station,mesto-2-uroven,railway station
63,The demonstrators gathered in the _ .,square,mesto-2-uroven,square
63,It's the highest _ in this city.,building,mesto-2-uroven,building
63,I go to the _ on Sundays.,church,mesto-2-uroven,church
63,The purpose of a _ is to slow down traffic.,roundabout,mesto-2-uroven,roundabout
64,The _ usually opened at this time.,theatre,mesto-2-uroven,theatre
64,Whoever goes to _ believes in God.,church,mesto-2-uroven,church
64,Dozens of cars were parked in the _ .,parking lot,mesto-2-uroven,parking lot
64,I am doing shopping at the _ .,market,mesto-2-uroven,market
65,There are no restrooms in this _ .,building,mesto-2-uroven,building
65,She went to the _ to buy fresh vegetables.,market,mesto-2-uroven,market
65,He got off at the next _ .,bus stop,mesto-2-uroven,bus stop
65,The doctor works in a _ .,hospital,mesto-2-uroven,hospital
66,Your blouse goes beautifully with that _ .,skirt,obleceni-2-uroven,skirt
66,Tom bought a straw _ .,hat,obleceni-2-uroven,hat
66,Take your _ in case it rains.,raincoat,obleceni-2-uroven,raincoat
66,I can't read without _ .,glasses,obleceni-2-uroven,glasses
67,He cannot see anything without his _ .,glasses,obleceni-2-uroven,glasses
67,Franco has blue _ .,jeans,obleceni-2-uroven,jeans
67,Tom put his keys in his _ .,pocket,obleceni-2-uroven,pocket
67,She has a _ around her neck.,scarf,obleceni-2-uroven,scarf
68,What do you have in your _ ?,pocket,obleceni-2-uroven,pocket
68,Will you knit a _ for me?,sweater,obleceni-2-uroven,sweater
68,Do you prefer buying clothes with or without a _ ?,hood,obleceni-2-uroven,hood
68,Mary wears a sports _ for exercise.,bra,obleceni-2-uroven,bra
69,Fasten your seat _ .,belt,obleceni-2-uroven,belt
69,My _ is grey.,suit,obleceni-2-uroven,suit
69,Tom took his clothes off and put the _ on.,pyjamas,obleceni-2-uroven,pyjamas
69,My _ are wet.,underpants,obleceni-2-uroven,underpants
70,All the students were wearing black _ .,T-shirts,obleceni-2-uroven,T-shirts
70,He held her by the _ .,sleeve,obleceni-2-uroven,sleeve
70,There is a hole in his _ .,sock,obleceni-2-uroven,sock
70,Do I need a _ ?,tie,obleceni-2-uroven,tie
71,It looks like a fish _ got stuck in my throat.,bone,casti-tela-2-uroven,bone
71,Humans have very large _ .,brains,casti-tela-2-uroven,brains
71,Tom apologized for stepping on my _ .,foot,casti-tela-2-uroven,foot
71,The human _ consists of 23 bones.,skull,casti-tela-2-uroven,skull
72,Keep your _ out of my business.,nose,casti-tela-2-uroven,nose
72,Tom is biting his _ .,nails,casti-tela-2-uroven,nails
72,I bit my _ .,lip,casti-tela-2-uroven,lip
72,He ran his _ through her hair.,fingers,casti-tela-2-uroven,fingers
73,She never paints her _ red.,lips,casti-tela-2-uroven,elbow
73,The back of my _ hurts.,neck,casti-tela-2-uroven,neck
73,Mary has blue _ .,eyes,casti-tela-2-uroven,lips
73,I have tennis _ .,elbow,casti-tela-2-uroven,eyes
74,I kissed her on her _ .,forehead,casti-tela-2-uroven,forehead
74,You should not drink on an empty _ .,stomach,casti-tela-2-uroven,stomach
74,Her _ is as white as snow.,skin,casti-tela-2-uroven,skin
74,Tom hurt his _ .,knee,casti-tela-2-uroven,knee
75,Wash your _ and hands.,face,casti-tela-2-uroven,face
75,I had a _ pulled.,tooth,casti-tela-2-uroven,tooth
75,Mary had her _ read.,palm,casti-tela-2-uroven,palm
75,Alcohol damages the _ .,liver,casti-tela-2-uroven,liver
76,How do you _ that in German?,say,slovesa-komunikace-2-uroven,say
76,You should _ the weather before you go out.,check,slovesa-komunikace-2-uroven,check
76,I _ your help.,appreciate,slovesa-komunikace-2-uroven,appreciate
76,He doesn't have a job. He needs to _ for money.,beg,slovesa-komunikace-2-uroven,beg
77,Can she _ this book? ,borrow,slovesa-komunikace-2-uroven,borrow
77,I would like to _ that we are coming. ,confirm,slovesa-komunikace-2-uroven,confirm
77,They _ with you. ,disagree,slovesa-komunikace-2-uroven,disagree
77,You should _ these cards into two groups.,divide,slovesa-komunikace-2-uroven,divide
78,Will you _ us for dinner tonight?,join,slovesa-komunikace-2-uroven,join
78,Did you _ when he fell?,notice,slovesa-komunikace-2-uroven,notice
78,Visitors have to _ a permit.,obtain,slovesa-komunikace-2-uroven,obtain
78,Let's _ we are rich!,pretend,slovesa-komunikace-2-uroven,pretend
79,You should _ the package in three days.,receive,slovesa-komunikace-2-uroven,receive
79,She shouldn't _ at strangers.,shout,slovesa-komunikace-2-uroven,shout
79,The doctor will _ their wounds.,examine,slovesa-komunikace-2-uroven,examine
79,How do you _ his behaviour?,interpret,slovesa-komunikace-2-uroven,interpret
80,If you're happy and you know it _ your hands!,clap,pohybova-slovesa-2-uroven,clap
80,It's not far. We can _ there.,walk,pohybova-slovesa-2-uroven,walk
80,They can't _ on the bed.,jump,pohybova-slovesa-2-uroven,jump
80,You should definitely _ tomorrow!,come,pohybova-slovesa-2-uroven,come
80,Be careful not to _ the glass.,drop,pohybova-slovesa-2-uroven,drop
81,When did you _ here?,arrive,pohybova-slovesa-3-uroven,arrive
81,Don't _ over the railing.,bend,pohybova-slovesa-3-uroven,bend
81,"They like to _ down the street, playing soldiers.",march,pohybova-slovesa-3-uroven,march
81,Sometimes I _ him on the street.,pass,pohybova-slovesa-3-uroven,pass
81,Your temperature shouldn't _ anymore.,rise,pohybova-slovesa-3-uroven,rise
82,"If you are careful, you can _ right past them.",slip,pohybova-slovesa-3-uroven,slip
82,Monkeys like to _ on the trees.,swing,pohybova-slovesa-3-uroven,swing
82,"Please, _ me alone for a moment.",leave,pohybova-slovesa-3-uroven,leave
82,Don't _ me with those dirty hands!,touch,pohybova-slovesa-3-uroven,touch
82,I prefer not to _ myself to anything.,bind,pohybova-slovesa-3-uroven,bind
83,We will _ the animals back into the wild.,release,pohybova-slovesa-3-uroven,release
83,They should _ at some point.,appear,pohybova-slovesa-3-uroven,appear
83,"If it falls into the water, it's going to _ .",sink,pohybova-slovesa-3-uroven,sink
83,We should make up and _ .,embrace,pohybova-slovesa-3-uroven,embrace
83,She has to _ the laundry first.,sort,pohybova-slovesa-3-uroven,sort
84,We need to _ the costs.,cut down,frazova-slovesa-2-uroven,cut down
84,I will _ the problem.,look into,frazova-slovesa-2-uroven,look into
84,You can not _ to the pressure.,give in,frazova-slovesa-2-uroven,give in
84,She wants to _ .,go away,frazova-slovesa-2-uroven,go away
85,You should _ something warm.,put on,frazova-slovesa-2-uroven,put on
85,I think the car is going to _ soon.,break down,frazova-slovesa-2-uroven,break down
85,They need to _ of the house.,move out,frazova-slovesa-2-uroven,move out
85,The prisoners should be _ .,set free,frazova-slovesa-2-uroven,set free
86,You can’t _ on your colleagues.,look down,frazova-slovesa-2-uroven,look down
86,"Please, _ with your exercise.",go on,frazova-slovesa-2-uroven,go on
86,She will _ on me. ,hang up,frazova-slovesa-2-uroven,hang up
86,We will soon _ of potatoes. ,run out,frazova-slovesa-2-uroven,run out
87,She should _ with him.,break up,frazova-slovesa-2-uroven,break up
87,He will _ the files.,look through,frazova-slovesa-2-uroven,put off
87,They don’t _ very well.,get on,frazova-slovesa-2-uroven,look through
87,Don’t _ calling him. ,put off,frazova-slovesa-2-uroven,get on
88,I will _ the page you sent me. ,check out,frazova-slovesa-2-uroven,check out
88,The children will _ faster than you think.,grow up,frazova-slovesa-2-uroven,grow up
88,Let’s _ for now.,split up,frazova-slovesa-2-uroven,work out
88,He needs to _ more if he wants to be in shape.,work out,frazova-slovesa-2-uroven,split up
89,You shouldn’t _ people who are speaking.,cut off,frazova-slovesa-2-uroven,move in
89,She wants her dreams to _ . ,come true,frazova-slovesa-2-uroven,come true
89,They are going to _ together next month.,move in,frazova-slovesa-2-uroven,cut off
89,I want to _ on an adventure. ,set out,frazova-slovesa-2-uroven,set out
90,He didn’t _ yesterday.,show up,frazova-slovesa-2-uroven,show up
90,I hope it don’t _ as rude.,come across,frazova-slovesa-2-uroven,look after
90,Will you _ my cat?,look after,frazova-slovesa-2-uroven,come across
90,She _ for a raise.,put in,frazova-slovesa-2-uroven,put in
91,It shouldn’t _ the whole population.,cut across,frazova-slovesa-2-uroven,look for
91,Don’t forget to _ his number.,put down,frazova-slovesa-2-uroven,put down
91,The handle will _ if you force it.,come off,frazova-slovesa-2-uroven,cut across
91,You can _ it in some book.,look for,frazova-slovesa-2-uroven,come off
93,Our _ sleeps all day.,cat,zvirata-mix-2-uroven,cat
93,We keep _ for wool and milk.,sheep,zvirata-mix-2-uroven,sheep
93,You can ride a _ or use it for work.,horse,zvirata-mix-2-uroven,chicken
93,The feather is from that _ .,chicken,zvirata-mix-2-uroven,horse
94,You can give the carrot to the _ .,rabbit,zvirata-mix-1-uroven,rabbit
94,There is a _ on the pond.,duck,zvirata-mix-1-uroven,duck
94,The milk comes from this _ .,cow,zvirata-mix-1-uroven,cow
94,It’s better to use _ for work than for riding. ,donkey,zvirata-mix-1-uroven,donkey
95,A _ lays eggs.,hen,zvirata-mix-2-uroven,hen
95,We have a lots of hens but only one _ .,cock,zvirata-mix-2-uroven,cock
95,A baby dog is called _ . ,puppy,zvirata-mix-2-uroven,puppy
95,Our _ likes to climb on everything.,goat,zvirata-mix-2-uroven,goat
96,A baby cat is called _ .,kitten,zvirata-mix-2-uroven,kitten
96,There is a _ guarding the house.,dog,zvirata-mix-2-uroven,dog
96,A _ will eat almost anything.,pig,zvirata-mix-2-uroven,pig
96,A _ can swim very well.,goose,zvirata-mix-2-uroven,goose
97,A male horse is called _ .,stallion,zvirata-mix-3-uroven,stallion
97,A female horse is called _ .,mare,zvirata-mix-3-uroven,mare
97,A male goat is called _ .,billy goat,zvirata-mix-3-uroven,billy goat
97,A female pig is called _ .,sow,zvirata-mix-3-uroven,sow
98,A baby goat is called _ . ,kid goat,zvirata-mix-2-uroven,foal
98,A baby horse is called _ .,foal,zvirata-mix-2-uroven,kid goat
98,A baby cow is called _ . ,calf,zvirata-mix-2-uroven,calf
98,A baby pig is called _ .,piglet,zvirata-mix-2-uroven,piglet
110,You need to _ salt and pepper.,add,cin-domacnost-2-uroven,squeeze
110,I will _ the lemons.,squeeze,cin-domacnost-2-uroven,add
110,Will you _ this picture on the wall?,hang,cin-domacnost-2-uroven,hang
110,She has to _ the plants.,water,cin-domacnost-2-uroven,water
111,Let’s _ some dinner.,cook,cin-domacnost-2-uroven,cook
111,You should _ it in cold water,soak,cin-domacnost-2-uroven,soak
111,I don’t want to _ the sweater.,wear,cin-domacnost-2-uroven,wear
111,We will _ a car.,rent,cin-domacnost-2-uroven,rent
112,My dad will _ the meat.,grill,cin-domacnost-2-uroven,grill
112,Do you _ this house?,own,cin-domacnost-2-uroven,own
112,He needs to _ the broken TV.,repair,cin-domacnost-2-uroven,repair
112,"Please, _ this mess.",clean,cin-domacnost-2-uroven,clean
113,I have a lot of clothes to _ .,iron,cin-domacnost-2-uroven,iron
113,She is going to _ a cake for you.,bake,cin-domacnost-2-uroven,bake
113,He wants to _ the seeds.,plant,cin-domacnost-2-uroven,plant
113,I still have to _ my bags.,pack,cin-domacnost-2-uroven,pack
114,Can you _ this for me?,cut,cin-domacnost-2-uroven,cut
114,I will _ you some hot tea.,pour,cin-domacnost-2-uroven,pour
114,You should _ the food first.,heat,cin-domacnost-2-uroven,chop
114,He can _ the onion.,chop,cin-domacnost-2-uroven,heat
115,Do they know how to _ ?,sew,cin-domacnost-2-uroven,bloom
115,Don’t _ the meat.,fry,cin-domacnost-2-uroven,fry
115,Spices are used to _ the food.,season,cin-domacnost-2-uroven,sew
115,The flowers should _ soon.,bloom,cin-domacnost-2-uroven,season
116,"Please, _ these documents for me.",copy,cin-domacnost-2-uroven,copy
116,Let the soup _ for half an hour.,simmer,cin-domacnost-2-uroven,simmer
116,I will _ the candles.,light,cin-domacnost-2-uroven,light
116,You should _ them in a cellar.,store,cin-domacnost-2-uroven,store
116,We often _ online.,shop,cin-domacnost-2-uroven,shop
117,You can _ the drinks in the fridge.,cool,cin-domacnost-2-uroven,mix
117,Do you want to _ this picture?,colour,cin-domacnost-2-uroven,shake
117,You should _ it before using.,shake,cin-domacnost-2-uroven,cool
117,I will have to _ my own paint.,mix,cin-domacnost-2-uroven,colour
118,Our neighbours don't have any money. They are _ .,poor,vlastnosti-lidi-2-uroven,poor
118,Your new boyfriend is so _ .,charming,vlastnosti-lidi-2-uroven,charming
118,Tammy paints a lot. She is really _ .,imaginative,vlastnosti-lidi-2-uroven,imaginative
118,There is some _ person shouting outside.,angry,vlastnosti-lidi-2-uroven,angry
119,You are too _ to drive a car.,young,vlastnosti-lidi-2-uroven,young
119,I know him! He’s a _ singer!,famous,vlastnosti-lidi-2-uroven,famous
119,He can be really _ sometimes.,crazy,vlastnosti-lidi-2-uroven,crazy
119,She wants to know the answer. She is very _ .,curious,vlastnosti-lidi-2-uroven,curious
120,They will be alright. They are _ people.,responsible,vlastnosti-lidi-2-uroven,responsible
120,Are you still _ about it?,sad,vlastnosti-lidi-2-uroven,sad
120,Believe in yourself! Be more _ !,confident,vlastnosti-lidi-2-uroven,confident
120,Mike is so _ . He only talks about ice hockey.,boring,vlastnosti-lidi-2-uroven,boring
121,I love listening to her! She is so _ .,interesting,vlastnosti-lidi-2-uroven,interesting
121,I’m too _ for this.,old,vlastnosti-lidi-2-uroven,old
121,His brother is a _ businessman.,successful,vlastnosti-lidi-2-uroven,successful
121,"Please, be _ out there.",careful,vlastnosti-lidi-2-uroven,careful
122,I like them! They are all very _ .,friendly,vlastnosti-lidi-2-uroven,friendly
122,Jim draws all the time. He’s so _ .,creative,vlastnosti-lidi-2-uroven,creative
122,Don’t trust him. He is a _ person.,horrible,vlastnosti-lidi-2-uroven,horrible
122,My daughter is very _ . You should hear her talk.,amusing,vlastnosti-lidi-2-uroven,amusing
123,She does well in school. She’s very _ .,clever,vlastnosti-lidi-2-uroven,clever
123,There are _ criminals in the streets.,dangerous,vlastnosti-lidi-2-uroven,dangerous
123,Tom saved us! He is very _ .,brave,vlastnosti-lidi-2-uroven,humble
123,He didn’t mention he won because he’s _ .,humble,vlastnosti-lidi-2-uroven,brave
124,They are such a _ couple. They never fight.,happy,vlastnosti-lidi-2-uroven,ugly
124,You shouldn’t say that someone is _ .,ugly,vlastnosti-lidi-2-uroven,happy
124,Barry thinks she’s _ . He will ask her on a date.,attractive,vlastnosti-lidi-2-uroven,attractive
124,People who beat animals are _ .,cruel,vlastnosti-lidi-2-uroven,cruel
125,Of course they are _ . Have you seen their house?,rich,vlastnosti-lidi-2-uroven,agreeable
125,She can wear anything. She’s very _ .,thin,vlastnosti-lidi-2-uroven,thin
125,Thank you for the advice! You are very _ .,helpful,vlastnosti-lidi-2-uroven,helpful
125,Your parents are quite _ .,agreeable,vlastnosti-lidi-2-uroven,rich
126,I didn’t buy anything. The shop was _ .,closed,vlastnosti-predmety-2-uroven,closed
126,Our house has six rooms. It’s really _ .,big,vlastnosti-predmety-2-uroven,big
