id;sentence;sentenceForeign;words;sound;visible;created
23;{"sentences":[{"sentence":"Can I _ in this bed? ","translation":"Můžu *spát* v této posteli?","solution":["sleep"],"distractors":[]},{"sentence":"I would like to _ mineral water.","translation":"Chtěl bych *pít* minerálku.","solution":["drink"],"distractors":[]},{"sentence":"I like to _ fantasy books.","translation":"Rád *čtu* fantasy knihy.","solution":["read"],"distractors":[]},{"sentence":"Please, can you _ the window?","translation":"Můžeš, prosím, *zavřít* to okno?","solution":["close"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
24;{"sentences":[{"sentence":"We are going to _ a wall.","translation":"Budeme *stavět* zeď.","solution":["build"],"distractors":[]},{"sentence":"I _ a letter.","translation":"*Píšu* dopis.","solution":["write"],"distractors":[]},{"sentence":"Do you _ us?","translation":"*Vzpomínáš* si na nás?","solution":["remember"],"distractors":[]},{"sentence":"The bells started to _ .","translation":"Zvony začali *zvonit*.","solution":["ring"],"distractors":[]},{"sentence":"He made her _ .","translation":"*Rozplakal* ji.","solution":["cry"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
25;{"sentences":[{"sentence":"I want to _ a song.","translation":"Chci *zazpívat* píseň.","solution":["sing"],"distractors":[]},{"sentence":"You should _ him.","translation":"Měl bys mu *poděkovat*.","solution":["thank"],"distractors":[]},{"sentence":"My son still cannot _ .","translation":"Můj syn ještě neumí *počítat*.","solution":["count"],"distractors":[]},{"sentence":"I'll never _ you.","translation":"Nikdy na tebe *nezapomenu*.","solution":["forget"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
26;{"sentences":[{"sentence":"Do you _ alcohol?","translation":"*Piješ* alkohol?","solution":["drink"],"distractors":[]},{"sentence":"Cows _ grass.","translation":"Krávy *žerou* trávu.","solution":["eat"],"distractors":[]},{"sentence":"I _ my hands.","translation":"*Myji* si ruce.","solution":["wash"],"distractors":[]},{"sentence":"Do you _ ?","translation":"*Kouříš*?","solution":["smoke"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
27;{"sentences":[{"sentence":"I _ Tom's company.","translation":"*Užívám* si společnost Toma.","solution":["enjoy"],"distractors":[]},{"sentence":"I used to _ of him.","translation":"*Zdávalo* se mi o něm.","solution":["dream"],"distractors":[]},{"sentence":"I _ up early.","translation":"*Probouzím* se časně.","solution":["wake"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
28;{"sentences":[{"sentence":"Will you _ the door, please?","translation":"*Otevřeš* dveře, prosím?","solution":["open"],"distractors":[]},{"sentence":"Can I _ you a question?","translation":"Můžu se na něco *zeptat*?","solution":["ask"],"distractors":[]},{"sentence":"She will _ the pizza.","translation":"Tu pizzu *sní*.","solution":["eat"],"distractors":[]},{"sentence":"Do you want to _  a picture for me?","translation":"Chceš mi *namalovat* obrázek?","solution":["paint"],"distractors":[]},{"sentence":"We will _ to Africa.","translation":"Budeme *cestovat* do Afriky.","solution":["travel"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
29;{"sentences":[{"sentence":"I am tired. I should go to _ .","translation":"Jsem unavená. Měla bych jít *spát*.","solution":["sleep"],"distractors":[]},{"sentence":"What can you _ on the picture?","translation":"Co *vidíš* na obrázku?","solution":["see"],"distractors":[]},{"sentence":"They _ a new car.","translation":"*Chtějí* nové auto.","solution":["want"],"distractors":[]},{"sentence":"She will _ me a letter.","translation":"*Pošle* mi dopis.","solution":["send"],"distractors":[]},{"sentence":"Please, _ for five minutes.","translation":"*Počkejte* pět minut, prosím.","solution":["wait"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
30;{"sentences":[{"sentence":"Do you _ any help?","translation":"*Potřebuješ* pomoct?","solution":["need"],"distractors":[]},{"sentence":"We _ together.","translation":"*Pracujeme* spolu.","solution":["work"],"distractors":[]},{"sentence":"I can _ the bag.","translation":"Můžu *vzít* tu tašku.","solution":["take"],"distractors":[]},{"sentence":"You _ help me.","translation":"*Musíš* mi pomoct.","solution":["must"],"distractors":[]},{"sentence":"I _ you good luck.","translation":"*Přeji* ti hodně štěstí.","solution":["wish"],"distractors":[]}]};;;;1;2019-06-06 14:06:38
31;{"sentences":[{"sentence":"Can you _ the right answer?","translation":"*Uhodnete* správnou odpověď?","solution":["guess"],"distractors":[]},{"sentence":"I will _ your questions. ","translation":"*Zodpovím* na vaše otázky.","solution":["answer"],"distractors":[]},{"sentence":"I want the truth! Don't _ to me.","translation":"Chci pravdu! *Nelži* mi.","solution":["lie"],"distractors":[]},{"sentence":"Will you _ me your picture?","translation":"*Ukážeš* mi svůj obrázek?","solution":["show"],"distractors":[]},{"sentence":"She wants to _ her story with us.","translation":"Chce s námi *sdílet* svůj příběh.","solution":["share"],"distractors":[]}]};;;;1;2019-06-06 14:07:31
32;{"sentences":[{"sentence":"You have to _ them with a smile.","translation":"Musíš je *pozdravit* s úsměvem.","solution":["greet"],"distractors":[]},{"sentence":"They _ old furniture.","translation":"*Prodávají* starý nábytek.","solution":["sell"],"distractors":[]},{"sentence":"He will _ me around town.","translation":"Bude mě *provázet* po městě.","solution":["guide"],"distractors":[]},{"sentence":"My parents _ a lot.","translation":"Mí rodiče se hodně *hádají*.","solution":["argue"],"distractors":[]},{"sentence":"I can _ you more money.","translation":"Můžu ti *nabídnout* víc peněz.","solution":["offer"],"distractors":[]}]};;;;1;2019-06-06 14:07:31
33;{"sentences":[{"sentence":"Can I _ you later?","translation":"Můžu ti *zavolat* později?","solution":["call"],"distractors":[]},{"sentence":"She has to _ to her parents.","translation":"Musí *poslouchat* své rodiče.","solution":["listen"],"distractors":[]},{"sentence":"Do you _ with what I said?","translation":"*Souhlasíš* s tím, co jsem řekl?","solution":["agree"],"distractors":[]},{"sentence":"I _ your kindness.","translation":"*Cením si* vaší dobrosrdečnosti.","solution":["appreciate"],"distractors":[]},{"sentence":"Would you like to _ on this?","translation":"Chtěli byste to *komentovat*?","solution":["comment"],"distractors":[]}]};;;;1;2019-06-06 14:07:31
34;{"sentences":[{"sentence":"Do you want to _ around the pond?","translation":"Chceš *bruslit* na rybníku?","solution":["skate"],"distractors":[]},{"sentence":"It's too cold to _ in the ocean.","translation":"Na *plavání* v oceáně je příliš chladno.","solution":["swim"],"distractors":[]},{"sentence":"She can _ on the couch.","translation":"Může *sedět* na gauči.","solution":["sit"],"distractors":[]},{"sentence":"Did you _ for the lost keys?","translation":"*Hledal* jsi ty ztracené klíče?","solution":["search"],"distractors":[]},{"sentence":"He wants to _ Mt Everest.","translation":"Chce *vylézt* na Everest.","solution":["climb"],"distractors":[]}]};;;;1;2019-06-06 14:08:22
35;{"sentences":[{"sentence":"Go ahead and _ the ball. ","translation":"Běž a *kopni* do toho míče.","solution":["kick"],"distractors":[]},{"sentence":"We can _ around to feel warm.","translation":"Můžeme se *hýbat*, aby nám bylo teplo.","solution":["move"],"distractors":[]},{"sentence":"If you know the answer, _ your hand.","translation":"Pokud víte odpověď, *zvedněte* ruku.","solution":["raise"],"distractors":[]},{"sentence":"You should _ up the trash.","translation":"Měl bys *zvednout* ty odpadky.","solution":["pick"],"distractors":[]},{"sentence":"Do you want to _ to the music with him?","translation":"Chceš s ním *tančit* na tu hudbu?","solution":["dance"],"distractors":[]}]};;;;1;2019-06-06 14:08:22
36;{"sentences":[{"sentence":"They would _ there by plane.","translation":"*Letěli* by tam letadlem.","solution":["fly"],"distractors":[]},{"sentence":"How fast can you _ a mile?","translation":"Jak rychle *zaběhneš* míli?","solution":["run"],"distractors":[]},{"sentence":"I will _ a deep hole here.","translation":"*Vykopu* tady hlubokou díru.","solution":["dig"],"distractors":[]},{"sentence":"Can you _ around and not look, please?","translation":"Můžeš se *otočit* a nekoukat se, prosím?","solution":["turn"],"distractors":[]},{"sentence":"He can _ the boxes for you.","translation":"Může za tebe *odnést* ty krabice.","solution":["carry"],"distractors":[]}]};;;;1;2019-06-06 14:08:22
37;{"sentences":[{"sentence":"You can _ here and watch.","translation":"Můžeš tady *stát* a koukat se.","solution":["stand"],"distractors":[]},{"sentence":"Please, _ me the ball.","translation":"*Hoď* mi ten míč, prosím.","solution":["throw"],"distractors":[]},{"sentence":"She can _ a horse.","translation":"Umí *jezdit* na koni.","solution":["ride"],"distractors":[]},{"sentence":"You will _ down, if you are not careful.","translation":"*Spadneš*, když nebudeš opatrná.","solution":["fall"],"distractors":[]},{"sentence":"Will you _ my hand?","translation":"Budeš mě *držet* za ruku?","solution":["hold"],"distractors":[]}]};;;;1;2019-06-06 14:11:33
38;{"sentences":[{"sentence":"I can _ for a better price.","translation":"Můžu *vyjednat* lepší cenu.","solution":["bargain"],"distractors":[]},{"sentence":"She wants to _ to you.","translation":"Chce s tebou *mluvit*.","solution":["speak"],"distractors":[]},{"sentence":"They will _ the flight for us.","translation":"*Zarezervují* pro nás ten let.","solution":["book"],"distractors":[]},{"sentence":"Please, _ me inside.","translation":"*Následujte* mě dovnitř, prosím.","solution":["follow"],"distractors":[]},{"sentence":"How do you _ your name?","translation":"Jak *hláskujete* své jméno?","solution":["spell"],"distractors":[]}]};;;;1;2019-06-06 14:12:42
39;{"sentences":[{"sentence":"Does she _ singing?","translation":"*Zpívá* ráda?","solution":["enjoy"],"distractors":[]},{"sentence":"I _ my keys a lot.","translation":"Často si *zapomínám* své klíče.","solution":["forget"],"distractors":[]},{"sentence":"Do you _ around here?","translation":"*Žijete* tady?","solution":["live"],"distractors":[]},{"sentence":"They _ the way to the city.","translation":"*Vědí* jak se dá dostat do města.","solution":["know"],"distractors":[]},{"sentence":"He can _ to five now.","translation":"Už dokáže *počítat* do pěti.","solution":["count"],"distractors":[]}]};;;;1;2019-06-06 14:13:20
40;{"sentences":[{"sentence":"Do you miss your _ ?","translation":"Chybí ti tvoje *žena*?","solution":["wife"],"distractors":[]},{"sentence":"Tom offered to help his _ .","translation":"Tom se nabídl, že pomůže *sousedovi*.","solution":["neighbour"],"distractors":[]},{"sentence":"I want to join your _ .","translation":"Chci se připojit k vaší *skupině*.","solution":["group"],"distractors":[]},{"sentence":"Can you guess my _ ?","translation":"Dokážeš uhádnout můj *věk*?","solution":["age"],"distractors":[]}]};;;;1;2019-06-06 14:14:09
41;{"sentences":[{"sentence":"Put it on the _ .","translation":"Polož to na *stůl*.","solution":["table"],"distractors":[]},{"sentence":"Tom backed his car out of the _ .","translation":"Tom vycouval se svým autem z *garáže*.","solution":["garage"],"distractors":[]},{"sentence":"The room is at the end of the _ .","translation":"Pokoj je na konci *chodby*.","solution":["hall"],"distractors":[]},{"sentence":"This _ can seat three people easily.","translation":"Na této *pohovce* mohou pohodlně sedět tři lidé.","solution":["sofa"],"distractors":[]}]};;;;1;2019-06-06 14:15:03
42;{"sentences":[{"sentence":"Small children are very _ .","translation":"Malé děti jsou velmi *zvědavé*.","solution":["curious"],"distractors":[]},{"sentence":"One of the answers is _ .","translation":"Jedna z odpovědí je *správná*.","solution":["correct"],"distractors":[]},{"sentence":"The window is _ .","translation":"Okno je *otevřené*.","solution":["open"],"distractors":[]},{"sentence":"The radio is a bit _ .","translation":"To rádio je trochu *hlasité*.","solution":["loud"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
43;{"sentences":[{"sentence":"Petrol is no longer a _ fuel.","translation":"Benzín už není *levné* palivo.","solution":["cheap"],"distractors":[]},{"sentence":"You are very _ .","translation":"Jsi velmi *krásná*.","solution":["beautiful"],"distractors":[]},{"sentence":"My bath towel was _ , so it was of no use.","translation":"Můj ručník byl *mokrý*, proto byl k ničemu","solution":["wet"],"distractors":[]},{"sentence":"The wind is _ today.","translation":"Dnes je *studený* vítr.","solution":["cold"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
44;{"sentences":[{"sentence":"He is a very _ swimmer.","translation":"On je velmi *rychlý* plavec.","solution":["fast"],"distractors":[]},{"sentence":"Winter is my _ season.","translation":"Zima je mé *oblíbené* období.","solution":["favourite"],"distractors":[]},{"sentence":"Is the snake alive or _ ?","translation":"Je ten had živý nebo *mrtvý*?","solution":["dead"],"distractors":[]},{"sentence":"The bread is _ .","translation":"Chléb je *čerstvý*.","solution":["fresh"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
45;{"sentences":[{"sentence":"He used to be a _ man.","translation":"Býval to *tichý* člověk.","solution":["quiet"],"distractors":[]},{"sentence":"My _ colour is red.","translation":"Moje *oblíbená* barva je červená.","solution":["favourite"],"distractors":[]},{"sentence":"Water is _ .","translation":"Voda je *průhledná*.","solution":["transparent"],"distractors":[]},{"sentence":"A cow is a _ animal.","translation":"Kráva je *užitečné* zvíře.","solution":["useful"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
46;{"sentences":[{"sentence":"Iron is more _ than gold.","translation":"Železo je *užitečnější* než zlato.","solution":["useful"],"distractors":[]},{"sentence":"Are my socks _ already?","translation":"Mám už *suché* ponožky?","solution":["dry"],"distractors":[]},{"sentence":"My fingertips are _ .","translation":"Mám *zmrzlé* konečky prstů.","solution":["frozen"],"distractors":[]},{"sentence":"The day was _ .","translation":"Ten den byl *horký*.","solution":["hot"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
47;{"sentences":[{"sentence":"Everybody knows him. He is very _ .","translation":"Všichni ho znají. Je velmi *známý*.","solution":["famous"],"distractors":[]},{"sentence":"That is a nice dress. You look _ .","translation":"To jsou pěkné šaty. Vypadáš *krásně*.","solution":["beautiful"],"distractors":[]},{"sentence":"His dog is ill. He is _ .","translation":"Jeho pes je nemocný. Je *smutný*.","solution":["sad"],"distractors":[]},{"sentence":"She has lot of money. She is _ .","translation":"Má hodně peněz. Je *bohatá*.","solution":["rich"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
48;{"sentences":[{"sentence":"The lake is quite _ .","translation":"Jezero je celkem *plytké*.","solution":["shallow"],"distractors":[]},{"sentence":"Be careful! The box is very _ .","translation":"Dávej pozor! Ta krabice je velmi *těžká*.","solution":["heavy"],"distractors":[]},{"sentence":"Our street is very _ .","translation":"Naše ulice je velmi *široká*.","solution":["wide"],"distractors":[]},{"sentence":"That was a _ joke.","translation":"To byl *hloupý* vtip.","solution":["silly"],"distractors":[]},{"sentence":"I have a very _ knife.","translation":"Mám velmi *ostrý* nůž.","solution":["sharp"],"distractors":[]}]};;;;1;2019-06-06 14:16:03
54;{"sentences":[{"sentence":"Wild animals live in the _ .","translation":"V *lese* žije divoká zvěř.","solution":["forest"],"distractors":[]},{"sentence":"The horse is at the _ .","translation":"Kůň je na *farmě*.","solution":["farm"],"distractors":[]},{"sentence":"Look at this shining _ .","translation":"Podívej se na tuhle zářící *hvězdu*.","solution":["star"],"distractors":[]},{"sentence":"We went swimming in the _ .","translation":"Šli jsme si zaplavat do *řeky*.","solution":["river"],"distractors":[]}]};;;;1;2019-06-07 15:44:31
55;{"sentences":[{"sentence":"This _ is deepest here.","translation":"Tady je ta *řeka* nejhlubší.","solution":["river"],"distractors":[]},{"sentence":"The _ was packed with tourists.","translation":"*Pláž* byla přeplněná turisty.","solution":["beach"],"distractors":[]},{"sentence":"Tom told me not to go into the _ .","translation":"Tom mi řekl, abych do té *jeskyně* nechodil.","solution":["cave"],"distractors":[]},{"sentence":"We're heading _ .","translation":"Směřujeme na *sever*.","solution":["north"],"distractors":[]}]};;;;1;2019-06-07 15:44:31
56;{"sentences":[{"sentence":"A river flows through the _ .","translation":"Řeka teče *údolím*.","solution":["valley"],"distractors":[]},{"sentence":"The _ is covered with snow.","translation":"*Hora* je pokryta sněhem.","solution":["mountain"],"distractors":[]},{"sentence":"The station is to the _ of the hotel.","translation":"Zastávka je na *západ* od hotelu.","solution":["west"],"distractors":[]},{"sentence":"The homes on the _ are very expensive.","translation":"Domy na *pobřeží* jsou velmi drahé.","solution":["coast"],"distractors":[]}]};;;;1;2019-06-07 15:44:31
57;{"sentences":[{"sentence":"The moon is not always the same _ away from Earth.","translation":"Měsíc není od Země vždy ve stejné *vzdálenosti*.","solution":["distance"],"distractors":[]},{"sentence":"They stood on the top of the _ .","translation":"Stáli na vrcholu *hory*.","solution":["hill"],"distractors":[]},{"sentence":"The _ level is rising.","translation":"Úroveň hladiny *moře* se zvedá.","solution":["sea"],"distractors":[]},{"sentence":"The _ is yellow.","translation":"*Slunce* je žluté.","solution":["sun"],"distractors":[]}]};;;;1;2019-06-07 15:44:31
58;{"sentences":[{"sentence":"It's warm today so you can swim in the _ .","translation":"Dnes je teplo, takže si můžeš zaplavat v *moři*.","solution":["sea"],"distractors":[]},{"sentence":"Many tourists come to see the _ .","translation":"Mnoho turistů se přišlo podívat na *vodopád*.","solution":["waterfall"],"distractors":[]},{"sentence":"There are many rivers on that _ .","translation":"Na tom *ostrově* je mnoho řek.","solution":["island"],"distractors":[]},{"sentence":"They went _ climbing.","translation":"Šli lézt po *skalách*.","solution":["rock"],"distractors":[]}]};;;;1;2019-06-07 15:44:32
59;{"sentences":[{"sentence":"Tom started chasing Mary around the _ .","translation":"Tom začal honit Mary po *hřišti*.","solution":["playground"],"distractors":[]},{"sentence":"He is studying history at the _ .","translation":"Studuje historii na *univerzitě*.","solution":["university"],"distractors":[]},{"sentence":"Which _ do I leave from?","translation":"Ze kterého *letiště* odlétám?","solution":["airport"],"distractors":[]},{"sentence":"The ship passed under the _ .","translation":"Loď proplula pod *mostem*.","solution":["bridge"],"distractors":[]}]};;;;1;2019-06-07 15:47:19
60;{"sentences":[{"sentence":"The _ is very long and very tall.","translation":"Ten *most* je velmi dlouhý a velmi vysoký.","solution":["bridge"],"distractors":[]},{"sentence":"My children are at _ .","translation":"Mé děti jsou ve *škole*.","solution":["school"],"distractors":[]},{"sentence":"Tom bought a ticket to the _ for himself.","translation":"Tom si koupil lístek do *kina*.","solution":["cinema"],"distractors":[]},{"sentence":"She works at the _ .","translation":"Pracuje v *bance*.","solution":["bank"],"distractors":[]}]};;;;1;2019-06-07 15:47:19
61;{"sentences":[{"sentence":"When he entered the _ , the film had already begun.","translation":"Když vstoupil do *kina*, film už běžel.","solution":["cinema"],"distractors":[]},{"sentence":"Stop playing video games and get to the _ .","translation":"Přestaň hrát video hry a jdi do *tělocvičny*.","solution":["gym"],"distractors":[]},{"sentence":"Our _ has five rooms.","translation":"Náš *byt* má pět pokojů.","solution":["flat"],"distractors":[]},{"sentence":"The _ has many books.","translation":"V té *knihovně* je hodně knih.","solution":["library"],"distractors":[]}]};;;;1;2019-06-07 15:47:19
62;{"sentences":[{"sentence":"I returned the book to the _ .","translation":"Vrátil jsem knihu do *knihovny*.","solution":["library"],"distractors":[]},{"sentence":"He went to the _ to mail the letter.","translation":"Šel na *poštu*, aby poslal dopis.","solution":["post office"],"distractors":[]},{"sentence":"The palace has a tall _ .","translation":"Palác má vysokou *věž*.","solution":["tower"],"distractors":[]},{"sentence":"The train is at the _ .","translation":"Vlak je na *nádraží*.","solution":["railway station"],"distractors":[]}]};;;;1;2019-06-07 15:47:19
63;{"sentences":[{"sentence":"The demonstrators gathered in the _ .","translation":"Demonstranti se shromáždili na *náměstí*.","solution":["square"],"distractors":[]},{"sentence":"It's the highest _ in this city.","translation":"Je to největší *budova* ve městě.","solution":["building"],"distractors":[]},{"sentence":"I go to the _ on Sundays.","translation":"Do *kostela* chodím v neděli.","solution":["church"],"distractors":[]},{"sentence":"The purpose of a _ is to slow down traffic.","translation":"Účel *kruhového objezdu* je zpomalit dopravu.","solution":["roundabout"],"distractors":[]}]};;;;1;2019-06-07 15:47:19
64;{"sentences":[{"sentence":"The _ usually opened at this time.","translation":"*Divadlo* obvykle otevíralo v tuto dobu.","solution":["theatre"],"distractors":[]},{"sentence":"Whoever goes to _ believes in God.","translation":"Každý, kdo chodí do *kostela*, věří v Boha.","solution":["church"],"distractors":[]},{"sentence":"Dozens of cars were parked in the _ .","translation":"Tucty aut byly zaparkovány na *parkovišti*.","solution":["parking lot"],"distractors":[]},{"sentence":"I am doing shopping at the _ .","translation":"Nakupuji na *tržnici*.","solution":["market"],"distractors":[]}]};;;;1;2019-06-07 15:47:20
65;{"sentences":[{"sentence":"There are no restrooms in this _ .","translation":"V této *budově* nejsou žádné záchody.","solution":["building"],"distractors":[]},{"sentence":"She went to the _ to buy fresh vegetables.","translation":"Šla na *trh* koupit čerstvou zeleninu.","solution":["market"],"distractors":[]},{"sentence":"He got off at the next _ .","translation":"Vystoupil na příští *zastávce*.","solution":["bus stop"],"distractors":[]},{"sentence":"The doctor works in a _ .","translation":"Lékař pracuje v *nemocnici*.","solution":["hospital"],"distractors":[]}]};;;;1;2019-06-07 15:47:20
66;{"sentences":[{"sentence":"Your blouse goes beautifully with that _ .","translation":"Tvoje blúza se k té *sukni* krásně hodí.","solution":["skirt"],"distractors":[]},{"sentence":"Tom bought a straw _ .","translation":"Tom si koupil slaměný *klobouk*.","solution":["hat"],"distractors":[]},{"sentence":"Take your _ in case it rains.","translation":"Vemte si *pláštěnku* pro případ deště.","solution":["raincoat"],"distractors":[]},{"sentence":"I can't read without _ .","translation":"Nemůžu číst bez *brýlí*.","solution":["glasses"],"distractors":[]}]};;;;1;2019-06-07 15:48:21
67;{"sentences":[{"sentence":"He cannot see anything without his _ .","translation":"Bez *brýlí* nic nevidí.","solution":["glasses"],"distractors":[]},{"sentence":"Franco has blue _ .","translation":"Franco má modré *džíny*.","solution":["jeans"],"distractors":[]},{"sentence":"Tom put his keys in his _ .","translation":"Tom si strčil klíče do *kapsy*.","solution":["pocket"],"distractors":[]},{"sentence":"She has a _ around her neck.","translation":"Ona má okolo krku *šálu*.","solution":["scarf"],"distractors":[]}]};;;;1;2019-06-07 15:48:21
68;{"sentences":[{"sentence":"What do you have in your _ ?","translation":"Co máš v *kapse*?","solution":["pocket"],"distractors":[]},{"sentence":"Will you knit a _ for me?","translation":"Upleteš mi *svetr*?","solution":["sweater"],"distractors":[]},{"sentence":"Do you prefer buying clothes with or without a _ ?","translation":"Dáváš přednost nákupu oblečení s kapucí nebo bez *kapuce*?","solution":["hood"],"distractors":[]},{"sentence":"Mary wears a sports _ for exercise.","translation":"Mary nosí na cvičení sportovní *podprsenku*.","solution":["bra"],"distractors":[]}]};;;;1;2019-06-07 15:48:21
69;{"sentences":[{"sentence":"Fasten your seat _ .","translation":"Zapněte si *pás*.","solution":["belt"],"distractors":[]},{"sentence":"My _ is grey.","translation":"Můj *oblek* je šedý.","solution":["suit"],"distractors":[]},{"sentence":"Tom took his clothes off and put the _ on.","translation":"Tom si sundal šaty a oblékl si *pyžamo*.","solution":["pyjamas"],"distractors":[]},{"sentence":"My _ are wet.","translation":"Moje *spodky* jsou mokré.","solution":["underpants"],"distractors":[]}]};;;;1;2019-06-07 15:48:21
